source_position,item_code,uom,display_name,category,official_product_page,official_image_url
134,ELE-D/L-MEG-YTA60Z1-10W,PCS,,,https://www.jllelectrical.com.my/showproducts/productid/4013262/cid/544741/megaman-yta60z1-10w-220240v-e27-810lm-led-gls-bulb-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/1654071317d9dc9da42915afeef96e1d70000bf0b7.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9
197,ELE-D/L-MEG-YTA65Z2-12W,PCS,,,https://www.jllelectrical.com.my/showproducts/productid/4013283/cid/457883/megaman-yta65z2-12w-220240v-e27-1080lm-led-gls-bulb-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/16541351427f80a8e5a11d6f37a8a173069a4e8135.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9
237,ELE-D/L-MEG-YTG45Z1-5W,PCS,,,https://www.jllelectrical.com.my/showproducts/productid/4013180/megaman-ytg45z1-220240v-e27-270lm450lm-led-gls-bulb-3w5w3000k4000k6500k/,https://cdn1.npcdn.net/npimg/1654069965b3ec350ebe27aaf7034c27dbd1fbbb7d.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9
138,ELE-D/L-MEG-YTP38B1-10W,PCS,,,https://www.jllelectrical.com.my/showproducts/productid/4013891/cid/424624/megaman-ytp38b1-10w-220240v-810lm-plc-led-stick-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/16541440578c008f45fefd4cef95e9c013baf3efb2.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9
178,ELE-D/L-MEG-YTP38B1-10W-3000K,PCS,,,https://edaran.my/product/819/megaman-megaman-ytp38b1-led-10w-stick-tube-plc-6500k,https://edaran.my/assets/img/variant/6249c7f36ce6d9aa5bfe2885f7edb9da.png
227,ELE-D/L-MEG-YTP38Z1-10W,PCS,,,https://www.jllelectrical.com.my/showproducts/productid/4013850/megaman-ytp38z1-10w-220240v-810lm-e27-led-stick-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/1654141502046852ea8697ea772e25ff7e4dad7ca6.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9
168,ELE-D/L-MEG-YTP45Z1-15W-4000K,PCS,,,https://www.jllelectrical.com.my/showproducts/productid/4013992/cid/592300/megaman-ytp45z1-15w-220240v-1350lm-e27-led-stick-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/1654141237cabdb9b6cb4e1b13760ccc757d5495d8.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9
174,ELE-D/L-MEG-YTP45Z1-15W-3000K,PCS,,,https://www.jllelectrical.com.my/showproducts/productid/4013992/cid/592300/megaman-ytp45z1-15w-220240v-1350lm-e27-led-stick-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/16541412374009c54b9c828eca4d060207fde5725a.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=jpg&type=1
153,ELE-D/L-MEG-YTA70Z1-15W,PCS,,,https://www.jllelectrical.com.my/showproducts/productid/4013783/cid/359490/megaman-yta70z1-15w-220240v-e27-1350lm-led-gls-bulb-3000k4000k6500k/,https://cdn1.npcdn.net/npimg/16541359299be3be83ba8db760846b4d859bed705f.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9
2,JOV-WAT-HEA-SL30IP-BLK,PCS,,,https://www.joven-electric.com/my/sl30ip-instant-water-heater-5101401.html,https://www.joven-electric.com/media/catalog/product/s/l/sl30ip_black_2026_1.jpg
3,JOV-WAT-HEA-SL30IP-WHI,PCS,,,https://www.joven-electric.com/my/sl30ip-instant-water-heater-5101401.html,https://www.joven-electric.com/media/catalog/product/s/l/sl30ip_white_2026_1.jpg
11,JOV-WAT-HEA-SL30E-WHI-RS,PCS,,,https://www.joven-electric.com/my/sl30e-rs-instant-water-heater-5100601.html,https://www.joven-electric.com/media/catalog/product/5/1/5100601001-4_2.jpg
1,JOV-WAT-HEA-SL30IP-BLK-RS,PCS,,,https://www.joven-electric.com/my/sl30ip-rs-instant-water-heater-5101501.html,https://www.joven-electric.com/media/catalog/product/5/1/5101501002-1.jpg
18,JOV-WAT-HEA-SB11IP-BLK-RS,PCS,,,https://www.joven-electric.com/my/sb11ip-rs-4-2kw-instant-water-heater-5111102.html,https://www.joven-electric.com/media/catalog/product/s/b/sb11ip-rs_4.2kw_black__1.jpg
26,JOV-WAT-HEA-SB11IP-WHI,PCS,,,https://www.joven-electric.com/my/sb11ip-instant-water-heater-5110201.html,https://www.joven-electric.com/media/catalog/product/s/b/sb11ip_white__1.jpg
5,JOV-WAT-HEA-SA20E,PCS,,,https://www.joven-electric.com/my/sa20e-instant-water-heater-511601002.html,https://www.joven-electric.com/media/catalog/product/s/a/sa20e_-_feature_image_2026.jpg
277,PUM-WTR-JHP4-40,UNIT,,,https://www.joven-electric.com/my/jhp-4-40-water-pump.html,https://www.joven-electric.com/media/catalog/product/5/1/5130309001-2.jpg
158,JOV-WAT-FIL-JWP20,PCS,,,https://www.joven-electric.com/my/jwp20-water-filter.html,https://www.joven-electric.com/media/catalog/product/5/1/5134612001-1.jpg
165,BOS-2608-522-405,PCS,,,https://www.boschhardware.com/bosch-power-tools/bosch-power-tools-accessories/bosch-impact-driver-bit,https://wwarehouse.s3-ap-southeast-1.amazonaws.com/bosch-impact-driver-bit-bh.png
195,BOS-2608-522-406,PCS,,,https://www.boschhardware.com/bosch-power-tools/bosch-power-tools-accessories/bosch-impact-driver-bit,https://wwarehouse.s3-ap-southeast-1.amazonaws.com/bosch-impact-driver-bit-1-bh.png
120,BOS-0601-227-1L2,UNIT,,,https://www.bosch-pt.com.my/my/en/products/gsb-13-re-06012271L2,https://www.bosch-pt.com.my/my/en/ocsmedia/260232-54/application-image/full/impact-drill-pro-gsb-13-re-06012271l2.png
147,BOS-2608-619-701,PCS,,,https://www.bosch-pt.com.my/my/en/stainless-steel-and-metal-cutting-disc-green-long-life-for-small-angle-grinders-with-bore-16-mm-8107424-ocs-ac/,https://www.bosch-pt.com.my/binary/ocsmedia/optimized/full/o615543v82_2608619701_bo_pro_u_f_1.png
184,BOS-0611-924-0L1,UNIT,,,https://www.bosch-professional.com/sa/en/products/gbh-185-li-06119240L1,https://www.bosch-professional.com/sa/en/ocsmedia/397710-54/application-image/full/cordless-rotary-hammer-with-sds-plus-pro-gbh-185-li-06119240l1.png
208,BOS-0601-068-000,UNIT,,,https://www.bosch-professional.com/gb/en/products/gol-26-d-0601068000,https://www.bosch-professional.com/binary/ocsmedia/optimized/full/o451656v54_GOL_26_D_SOS_0601068000_f4_V2.png
226,BOS-0611-338-9L1,UNIT,,,https://www.bosch-pt.com.my/my/en/products/gsh5mx-06113389L1,https://www.bosch-pt.com.my/binary/ocsmedia/optimized/full/o596317v54_o587462v12.png
252,BOS-0600-8A7-FLO,UNIT,,,https://www.bosch-diy.com/my/en/p/easyaquatak-110-06008a7fl0,https://www.bosch-diy.com/imagestorage/en-my/easyaquatak-110-100044179-hires-png-rgb-oneux-263458_w_1600_h_800.png
276,DC-DCSM03-100EK,SET,,,https://www.dongchengtool.com/product/detail/1642205372810,https://dongcheng.obs.ap-southeast-1.myhuaweicloud.com/cms/2024/10/20/1732062890048/DCSM03-100.jpg
254,STA-HAM-BRU-SBH900M2K,UNIT,,,https://my.stanleytools.global/product/sbh900m2k-b1/20v-brushless-sds-hammer,https://my.stanleytools.global/ASIA/PRODUCT/IMAGES/HIRES/SBH900M2K_1.jpg
59,STA-GRI-SCG400-SOLO,UNIT,,,https://my.stanleytools.global/product/scg400-b1/20v-grinder-tool-only,https://my.stanleytools.global/ASIA/PRODUCT/IMAGES/HIRES/SCG400_1.jpg
29,FAN-STA-KHI-SF1682,SET,,,https://khind.com.my/products/khind-stand-fan-sf1682se,http://khind.com.my/cdn/shop/files/SF1682SE_BG_white_7fc568d3-0556-4785-a1de-68302f995233.jpg?v=1751809076
6,SIN-SOR-SRTKS2406,PCS,,,https://www.sorento.com.my/sorento-kitchen/kitchen-sink/double-bowl/srtks2406-detail,https://www.sorento.com.my/images/stories/virtuemart/product/SRTKS24061.jpg
1933,DC-DCJZ03-13EK-20V,SET,,,https://www.dongchengtool.com/product/detail/1641398181688,https://dongcheng.obs.ap-southeast-1.myhuaweicloud.com/cms/2023/7/1/1690874744208/DCJZ03-13-05.png
1466,X-ALP-WAT-HEA-AS-2EP-SIL,UNIT,,,https://www.alphamalaysia.com/instant-shower-heaters/as-2ep,https://www.alphamalaysia.com/sites/default/files/2023-07/AS2EP%20Std%20G12%20copy%203.png
2541,BAT-CHA-KENDE-SM1212,UNIT,,,https://www.suiumachinery.com.my/showproducts/productid/4797799/cid/467542/kende-sm1212-612v-portable-battery-inverter-charger-212a/,https://cdn1.npcdn.net/images/f943283aec8e5551a94e1b64d8a07115_1704511396.webp?md5id=a7a0da96b4c16537050114ceed8368c9&new_width=1000&new_height=1000&size=max&w=1694400547&from=jpeg&type=9
2522,FAN-TAB-KDK-KB-304,PCS,,,https://www.kdk.com.my/product/kb-304/,https://www.kdk.com.my/wp-content/uploads/2020/07/product-thumbnail_Table-Fans-KB-304.png
3252,SWI-PLU-MK-654-13A,PCS,,,https://www.sierraplus.com.my/mk-654-13amp-plug-top-sirim-white,https://www.sierraplus.com.my/image/sponline/image/cache/data/all_product_images/product-806/mk-654-13amp-plug-top-sirim-white-1200x1200.jpg
4349,SWI-LAM-HOL-SE220E-E27,PCS,,,https://www.sierraplus.com.my/se-220-e27-batten-lamp-holder-socket-light-bulb-holder-c-w-base-white,https://www.sierraplus.com.my/image/sponline/image/cache/data/all_product_images/product-1110/se-220-e27-batten-lamp-holder-socket-light-bulb-holder-c-w-base-white-a-900x900.jpg
3623,CUT-DIS-MARK-12300-P024,PCS,,,https://www.mrmarks.com/index.php?ws=showproducts&products_id=2160710,https://cdn1.npcdn.net/image/156084571199cb84b713796168898828c90a9038f9.jpg?md5id=40a115d736494ae0bf5b6b65c715868d&new_width=1000&new_height=1000&w=1534135529
3343,CUT-ELE-EFM430,PCS,,,https://m.djhardware.com.my/index.php?ws=showproducts&products_id=3308430,https://cdn1.npcdn.net/images/16139647540e968fbe3cbc80073cdae67763457cf4.png
