source_position,item_code,uom,verifier_verdict,finish_exact,model_exact,justification
134,ELE-D/L-MEG-YTA60Z1-10W,PCS,pass,n/a,yes,"Page title ""MEGAMAN YTA60Z1 10W 220-240V E27 810LM LED GLS BULB [3000K/4000K/6500K]"" on JLL Electrical (authorised MY dealer); image 1000x1000 webp 31.6KB, no thumbnail transform"
197,ELE-D/L-MEG-YTA65Z2-12W,PCS,pass,n/a,yes,"Page title ""MEGAMAN YTA65Z2 12W 220-240V E27 1080LM LED GLS BULB [3000K/4000K/6500K]"" matches code exactly; image 1000x1000 webp 31.7KB"
237,ELE-D/L-MEG-YTG45Z1-5W,PCS,pass,n/a,yes,"Page title ""MEGAMAN YTG45Z1 220-240V E27 270LM/450LM LED GLS BULB [3W/5W/][3000K/4000K/6500K]"" includes 5W variant of exact model; image 1000x1000 webp 33.0KB"
138,ELE-D/L-MEG-YTP38B1-10W,PCS,pass,n/a,yes,"Page title ""MEGAMAN YTP38B1 10W 220-240V 810LM PLC LED STICK [3000K/4000K/6500K]"" matches; image 1000x1000 webp 29.9KB"
178,ELE-D/L-MEG-YTP38B1-10W-3000K,PCS,pass,yes,yes,"Edaran (MY distributor) page ""MEGAMAN YTP38B1 LED 10W STICK TUBE (PLC)"" lists 3000K option (SKU MEGAMAN-STICK-10W-PLC-3000K); variant PNG 488x703 201KB visibly captioned ""10W ~ 3000K PLC STICK TUBE"" proving finish"
227,ELE-D/L-MEG-YTP38Z1-10W,PCS,pass,n/a,yes,"Page title ""MEGAMAN YTP38Z1 10W 220-240V 810LM E27 LED STICK [3000K/4000K/6500K]"" matches code exactly; image 1000x1000 webp 30.6KB"
168,ELE-D/L-MEG-YTP45Z1-15W-4000K,PCS,pass,no,yes,"Page title ""MEGAMAN YTP45Z1 15W 220-240V 1350LM E27 LED STICK [3000K/4000K/6500K]"" covers 4000K but pixels cannot prove CCT selection; image 1000x1000 webp 30.7KB"
174,ELE-D/L-MEG-YTP45Z1-15W-3000K,PCS,pass,no,yes,"Same official YTP45Z1 page, second gallery image 1000x2435 webp 22.4KB showing E27 Megaman stick; 3000K offered on page but not pixel-provable"
153,ELE-D/L-MEG-YTA70Z1-15W,PCS,pass,n/a,yes,"Page title ""MEGAMAN YTA70Z1 15W 220-240V E27 1350LM LED GLS BULB [3000K/4000K/6500K]"" matches code exactly; image 1000x1000 webp 31.6KB"
2,JOV-WAT-HEA-SL30IP-BLK,PCS,pass,yes,yes,"Official Joven page ""SL30iP Instant Water Heater"" SKU 5101401; media jpg 1000x1000 92KB shows BLACK SL30iP unit labelled ""SL30iP"""
3,JOV-WAT-HEA-SL30IP-WHI,PCS,pass,yes,yes,"Same official SL30iP page SKU 5101401; media jpg 1000x1000 101KB shows WHITE unit printed ""SL30iP"""
11,JOV-WAT-HEA-SL30E-WHI-RS,PCS,pass,yes,yes,"Official Joven page ""SL30E-RS Instant Water Heater"" SKU 5100601 contains model string; gallery jpg 700x700 52KB shows white heater with rainshower set"
1,JOV-WAT-HEA-SL30IP-BLK-RS,PCS,pass,yes,yes,"Official Joven page ""SL30iP-RS Instant Water Heater"" SKU 5101501; media jpg 1000x1000 98KB shows black SL30iP with full rainshower set"
18,JOV-WAT-HEA-SB11IP-BLK-RS,PCS,pass,yes,yes,"Official Joven page ""SB11iP-RS (4.2kW) Instant Water Heater"" SKU 5111102; media jpg 1000x1000 85KB shows black ""SB11iP"" unit with rainshower set"
26,JOV-WAT-HEA-SB11IP-WHI,PCS,pass,yes,yes,"Official Joven page ""SB11iP Instant Water Heater"" SKU 5110201; media jpg 1000x1000 79KB shows white ""SB11iP"" unit"
5,JOV-WAT-HEA-SA20E,PCS,pass,n/a,yes,"Official Joven page contains ""SA20E"" and SKU 511601002; feature-image jpg 1000x1000 84KB"
277,PUM-WTR-JHP4-40,UNIT,pass,n/a,yes,"Official Joven page jhp-4-40-water-pump.html contains ""JHP"" and ""4-40"" model string; product jpg 1000x1000 161KB"
158,JOV-WAT-FIL-JWP20,PCS,pass,n/a,yes,"Official Joven page contains ""JWP20"" and SKU 5134612001; product jpg 1000x1000 74KB"
165,BOS-2608-522-405,PCS,pass,n/a,yes,"BoschHardware.com MY listing ""Bosch Impact Driver Bit"" shows ""Size: 65 MM (2608522405)""; image 750x750 jpg 274KB visibly packaged ""2 608 522 405"" proving model"
195,BOS-2608-522-406,PCS,pass,n/a,no,"Same listing shows ""Size: 110 MM (2608522406)"" in text; image 750x750 jpg 233KB is an unlabelled PH2 feature diagram so sibling size not pixel-provable"
120,BOS-0601-227-1L2,UNIT,pass,n/a,yes,"Official bosch-pt.com.my GSB 13 RE page contains ""06012271L2"" and ""GSB 13 RE""; PNG 701x600 358KB shows drill labelled ""GSB 13 RE"""
147,BOS-2608-619-701,PCS,pass,n/a,yes,"Official Bosch MY cutting-disc page contains ""2608619701""; official binary PNG 900x900 1224KB filename embeds 2608619701"
184,BOS-0611-924-0L1,UNIT,pass,n/a,yes,"Official Bosch Professional page contains ""06119240L1"" (GBH 185-Li); official PNG 660x600 523KB named GBH_185-Li ghost render"
208,BOS-0601-068-000,UNIT,pass,n/a,yes,"Official Bosch Professional page contains ""0601068000"" (GOL 26 D); PNG 627x600 389KB named GOL_26_D_SOS_0601068000"
226,BOS-0611-338-9L1,UNIT,pass,n/a,yes,"Official bosch-pt.com.my gsh5mx page contains ""06113389L1""; official PNG 657x600 417KB shows SDS-max demolition hammer w/ case matching GSH 5"
