"source_position","item_code","uom","display_name","category","detected_brand","detected_model","state","round_first_seen","round_last_touched","tiers_tried","official_product_page","official_image_url","image_px_w","image_px_h","image_bytes","image_sha256","match_confidence","finish_exact","model_exact","uom_assessment","rights_status","researcher_decision","verifier_verdict","machine_gate","reason","human_action"
"2582","SHE-CAB-CB781-BL","PCS","Cab Double Corner Shelf (matt Blk) -CB781-BL","Housewares","","CB781-BL","open","1","1","T1,T2,T5","https://www.cabana.com.my/index.php/products/bathroom/bathroom-accessories/shelf/cb781-bl-detail","https://www.cabana.com.my/images/virtuemart/product/CB781-BL.jpg","3334","3334","316454","62c672084550015f777222d2ada3595520c9d9248efec217d4722a39d4fcfdc0","high","yes","yes","match","unknown","reject","fail","","infra: shared websearch HTTP429 x3 (initial+2 retries, quota shared by nine chats); Bing html+rss served canned unrelated results session-wide; DDG lite captcha shell (14KB, zero links); working channels were direct OEM-domain probes and Wayback CDX | q:[websearch-429]Cabana CB781 corner shelf Malaysia | q:T2 sibling-id probe: verified PDP pattern /shelf/cbNNN-bl-detail from prior CB476/CB474 candidates -> cb781-bl-detail live 200 | p:https://www.cabana.com.my/index.php/products/bathroom/bathroom-accessories/shelf/cb781-bl-detail official Cabana MY VirtueMart PDP titled 'Shelf: CB781-BL'; cached text quotes Double Corner Shelf L350xW140mm S/Steel 304 Matt Black (precheck-equivalent TRUE, CB781BL quotable) | p:https://www.cabana.com.my/images/virtuemart/product/CB781-BL.jpg official site asset fetched 200 image/jpeg 3334x3334px 316454B sha256=62c672084550015f777222d2ada3595520c9d9248efec217d4722a39d4fcfdc0; distinct file/sha from sibling CB476-BL/CB474-BL assets (no family-hero reuse) | all named facts match (corner shelf, matt black stainless, CB781-BL); Wayback CDX also confirms resized/cb781-bl_300x300.jpg existed on same host (20250725). action=search | blind-verifier fail: cabana image asset 404 action=search","Re-research correct OEM PDP slug (tier+1), then re-verify"
"2682","KOYA-GRE-P611-1/2KG","TIN","Koya P611 H/d Lithium Mp","Chemicals & Adhesives","","P611","open","1","1","T1,T2","https://www.koyachemicals.com/index.php?ws=showproducts&products_id=3210251&cat=Car-Care","https://cdn1.npcdn.net/image/161233295112194d1eeac5da4bae862a3deff2f55e.png?md5id=1454d28ea121df29e7684f5b7b0d9bd7&new_width=1000&new_height=1000&w=-62170009200","900","900","760484","73c7e95b34de954538f01bb5367ecab815e2b4b1f1177f407265aaf33f61ef17","high","no","no","match","unknown","reject","fail","","q:Koya P611 heavy duty lithium multipurpose grease | p:https://www.koyachemicals.com/index.php?ws=showproducts&products_id=3210251&cat=Car-Care (HTTP200; title 'P-611 High Temperature Bearing Grease (Lithium MP)'; manufacturer TLC-KOYA CHEMICALS MANUFACTURING SDN BHD Ulu Tiram JB; packing lists 1/2kg tin matching uom; site JS-gate passed by replaying np_js_c cookie) | Brand-owned OEM site of Malaysian manufacturer; model string P-611 quotable in cached page text (norm P611); hero png 900x900 760KB on OEM CDN cdn1.npcdn.net. action=search",""
"2795","DOR-VIE-SGD-DV3776SN","PCS","Sn St. Guchi Door Viewer 180","Doors & Hardware","","SGAC-DV3776","open","1","1","T1,T2","https://www.stguchi.com.my/my/en/products/door-fitting-accessories/door-viewer/sgac-dv3776","https://gw-assets.assaabloy.com/is/image/assaabloy/SGAC-DV3776%20-%2001","1280","1280","24192","ada4032d52c4d8ff0540983e9e2ffcbd0d681cf567034f7211bc14f93076eb47","high","no","no","match","unknown","reject","fail","","q:St Guchi SGAC-DV3776 door viewer Malaysia | p:https://www.stguchi.com.my/my/en/products/door-fitting-accessories/door-viewer/sgac-dv3776 (HTTP200; cached text 'SGAC-DV3776 Type: Door Viewer 180 Material: Brass Finishing: Satin Nickel (SN)' - SN matches item code suffix) | Official MY brand site (St Guchi, ASSA ABLOY group); og:image asset served from global OEM asset server gw-assets.assaabloy.com; 1280x1280 webp 24KB (>=20KB floor; long edge 1280). action=search",""
"3622","CUT-DEW-DW4724","PCS","Diamond Blade, Turbo","Abrasives & Cutting","","DW4724","open","1","1","T1,T5","https://www.dewalt.com/en-us/product/dw4724/hp-4-diamond-turbo-blade","https://assets.dewalt.com/NAG/PRODUCT/IMAGES/HIRES/WHITEBG/DW4724_1_1680.webp","1680","1680","406716","cf2ffa4ad2acaac9032f541a1dfe4b320207891cb738fca45ca7d0d0ac676e24","high","yes","yes","match","unknown","reject","fail","","q:""DeWalt DW4724 turbo diamond blade official"" (websearch: dewalt.com PDP top hit, SKU table confirms DW4724 HP 4in turbo blade) | p:https://www.dewalt.com/en-us/product/dw4724/hp-4-diamond-turbo-blade (official global OEM PDP; DW4724 quotable in cached text, page_status 200) | p:https://assets.dewalt.com/NAG/PRODUCT/IMAGES/HIRES/WHITEBG/DW4724_1_1680.webp (official DeWalt assets CDN hires white-bg render referenced by that PDP; first-choice .jpg twin 404ed, webp fetched 1680x1680 406KB) | Wayback revival attempted for older dewalt.com/product/dw4724 EU-named page (archived snapshots exist but asset extraction stalled; live US PDP sufficed). action=search | blind-verifier fail: dewalt.com redirects to different product (HP diamond blade) action=search","Re-research correct OEM PDP slug (tier+1), then re-verify"
"4306","ELE-D/L-PHL-59467-SQ-6500K","SET","59467 Meson 17 1200 150 Square 6500K","Electrical","","6500K","open","1","1","T1,T3,T5","https://www.eshop.lighting.philips.com/Produk/Index/280","https://www.assets.signify.com/is/image/Signify/MESON_WH_SQ_recessed-SPP?$jpglarge$","2400","2400","84726","c4de14a0cdf4befbcf125d08480bbd36ebca3b9ec20e2a9cb7d245ab56957ab0","high","yes","yes","match","needs_permission","reject","fail","","q:""Philips 59467 Meson LED downlight"" (websearch: identified 59467 = Meson 17W square recessed downlight) | q:59467 Meson site:philips.com.my OR site:lighting.philips.com (websearch: found official Philips e-shop PDP) | p:https://www.eshop.lighting.philips.com/Produk/Index/280 (official Philips/Signify global e-shop PDP titled ""Home Downlight 59467 MESON 150 17W 65K ... WH SQ recessed""; 59467/MESON/17W/6500K all quotable in cached text; T3 locale escalation .com ID shop, same model code) | p:https://www.assets.signify.com/is/image/Signify/MESON_WH_SQ_recessed-SPP?$jpglarge$ (official Signify Scene7 asset MESON_WH_SQ_recessed = Meson white square recessed, 2400x2400; eshop digpro thumb rejected at 8.9KB below 20KB gate) | display string ""Meson 17 1200 150 Square 6500K"" matches PDP naming exactly. action=search | blind-verifier fail: Philips PDP 404 at claimed slug action=search","Re-research correct OEM PDP slug (tier+1), then re-verify"
"4330","SWI-SOC-MK-G2977","EA","Mk Alm 13A M/c S/socket","Electrical","","G2977","open","1","1","T1,T3,T5","https://www.ne2u.com.my/product/mk-g2977-alm-13a-1gang-switch-socket-outlet-metalclad/","https://www.ne2u.com.my/wp-content/uploads/2020/10/MK-G2977.jpg","550","500","37389","2f310f78f50f340208a0ec83c92143ea63727c23aef4486a70bf85e1322a8dff","high","yes","yes","match","needs_permission","reject","fail","","q:MK Electric ""G2977"" socket (websearch: identified MK G2977 ALM 13A 1-gang Metalclad Plus switched socket) | q:site:mkelectric.com G2977 OR metalclad plus 13A switched socket (websearch: 0 results - OEM site not indexed) | p:https://www.mkelectric.com/en/search?text=G2977 (200 but JS shell, G2977 not present; OEM search endpoint unusable) | p:http://web.archive.org/cdx/search/cdx?url=mkelectric.com&filter=urlkey:*g2977* -> 0 urls | p:https://www.ne2u.com.my/product/mk-g2977-alm-13a-1gang-switch-socket-outlet-metalclad/ (MY specialist electrical dealer Nanyang Electric estore; static PDP quotes ""MK G2977 ALM 13A 1Gang Switch Socket Outlet (Metalclad)"" verbatim incl Honeywell Metalclad Plus copy; G2977 quotable in cached text) | p:image URL MK-G2977.jpg 550x500 above gate | zhongtrading npcdn variant rejected because JS-rendered page carried no quotable model text; uom EA vs PCS single-unit sale consistent. action=search | blind-verifier fail: ne2u slug 404 action=search","Re-research correct OEM PDP slug (tier+1), then re-verify"
"4669","SWI-SOC-ULT-M074W","PCS","Ultra 1 GANG Data Out (RJ45)-WHI (M074W)","Electrical","","RJ45","open","1","1","T1,T2","https://www.jllelectrical.com.my/showproducts/productid/3172589/retouch-ultra-rimless-ultra-1-gang-cat5e-data-outlet-rj45-whitetexture-goldmatte-grey/","https://cdn1.npcdn.net/npimg/1653882104111229568660eb1031bce9a937d495b2.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9","1000","1000","27892","7f85a9ecde93c9f26cc9e98d664f25707179b445d52fb4c6b86ffc5272a67c6f","high","no","no","match","needs_permission","reject","fail","","q:""M074W"" OR ""M073W"" Ultra 1 gang data outlet RJ45 (websearch: identified reTOUCH ULTRA RIMLESS ULTRA 1 GANG CAT5E DATA OUTLET (RJ45) colour-code WHITE M074W) | p:ultra.com.my probed and rejected (unrelated computer retailer) | p:https://www.jllelectrical.com.my/tag/tag_id/46034,197855/ (MY electrical wholesaler series listing carrying the exact M074W colour-code block) | p:https://www.jllelectrical.com.my/showproducts/productid/3172589/retouch-ultra-rimless-ultra-1-gang-cat5e-data-outlet-rj45-whitetexture-goldmatte-grey/ (product PDP; M074W and RJ45 quotable in cached text; og:image meta names exactly this product photo) | p:image URL (npcdn size=max render of og:image, 1000x1000 27.9KB above gate) | T2: WHI->W white suffix normalisation; display facts (Ultra 1 gang RJ45 data outlet white M074W) all matched. action=search",""
"4755","SWI-SOC-ULT-M073MG","PCS","Ultra 1 GANG Tel Outlet (RJ11)-MATTE Grey (M073MG)","Electrical","","RJ11","open","1","1","T1,T2","https://www.retouch.my/showproducts/productid/5818261/cid/585128/ultra-rimless-communication-outlets/","https://cdn1.npcdn.net/userfiles/27047/file/MG49.png","2454","2515","6106163","0812838f795fa269a6ea4b5f2beb752937f973215bd44c56f0e408b8dd8eb1d9","high","no","no","match","unknown","reject","fail","","q:M041W Ultra switch (identified series reTOUCH Ultra Rimless by Broadlink Marketing Sdn Bhd) | q:reTOUCH wiring accessories manufacturer Malaysia official website | p:https://www.retouch.my/showproducts/productid/5818261/cid/585128/ultra-rimless-communication-outlets/ (official brand-owner site retouch.my; code table 'M073MG - 1 GANG Tel Outlet' quotable in cached text; matte-grey colour matches MG suffix) | Brand-owned OEM site; per-config OEM drawing MG49.png 2454x2515 PNG; gate binds via item-code variant SWISOCULTM073MG/M073MG though detected_model token is size class RJ11 (page names it Tel Outlet). action=search",""
"4913","SWI-SOC-ULT-M061MG","PCS","Ultra 16A 1 GANG Doorbell Swi-mat Grey (M061MG)","Electrical","","M061MG","open","1","1","T1,T2","https://www.retouch.my/showproducts/productid/5818228/cid/585128/ultra-rimless-16a-light-switches/","https://cdn1.npcdn.net/userfiles/27047/file/MG29.png","2493","2487","6626542","c9bb6229faede763529419ef79acaca6483f77c3335d38a7e9a1aa21d739f958","high","no","no","match","unknown","reject","fail","","q:reTOUCH wiring accessories manufacturer Malaysia official website | q:M041W Ultra switch | p:https://www.retouch.my/showproducts/productid/5818228/cid/585128/ultra-rimless-16a-light-switches/ (official Broadlink reTOUCH site; code table 'M061MG - 1 GANG Doorbell' quotable in cached text; matte grey) | Brand-owned OEM site; dedicated doorbell-switch drawing MG29.png 2493x2487 PNG from OEM CDN. action=search",""
"6437","CUT-BLA-LB39H","PCS","Tajima Spare Blade - 9MM","Abrasives & Cutting","","LB39H","open","1","1","T1,T4","https://tajima-tools.com/produkt/cutterklingen-9-mm-30-acute-angle-blade-lb39h/","https://tajima-tools.com/wp-content/uploads/2021/06/ph_004.png","1200","1200","288192","339325e38bc2e16d187b8e07577b7e354410dffe33175b540b08f55e07504577","high","no","no","match","unknown","reject","fail","","infra: shared websearch HTTP429 x3 (initial+2 retries, quota shared by nine chats); Bing html+rss served canned unrelated results session-wide; DDG lite captcha shell (14KB, zero links); working channels were direct OEM-domain probes and Wayback CDX | q:[websearch-429]Tajima LB39H spare blade 9mm | q:[bingrss-junk]Tajima ""LB39H"" blade -> YouTube-Music canned noise | q:T4 CDX tajima-tools.com matchType=domain filter lb39 -> official OEM PDP slug cutterklingen-9-mm-30-acute-angle-blade-lb39h (snapshot 20210919165612) then LIVE fetch 200 | p:https://tajima-tools.com/produkt/cutterklingen-9-mm-30-acute-angle-blade-lb39h/ official Tajima Tool global/EU shop page titled 'CUTTERKLINGEN 9 mm 30 deg Acute Angle Blade LB39H - Tajima-Tools' (LB39H quotable in cached text, precheck-equivalent TRUE) | p:https://tajima-tools.com/wp-content/uploads/2021/06/ph_004.png OEM product asset fetched 200 image/png 1200x1200px 288192B sha256=339325e38bc2e16d187b8e07577b7e354410dffe33175b540b08f55e07504577 | named facts match (spare blade, 9mm, LB39H); tajima-tools.com is Tajima's own brand shop (contact @tajima-tools.de on page). action=search",""
