item_code,uom,display_name,category,official_product_page,official_image_url,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,decision,reason,human_action
JOV-WAT-HEA-SL30IP-WHI-RS,PCS,Joven (white) Instant Water Heater SL30IP-RS,Home Appliances,https://www.joven-electric.com/my/sl30ip-rs-instant-water-heater-5101501.html,https://www.joven-electric.com/media/catalog/product/cache/322a816fef176a546d56690fda5291c3/5/1/5101501001-2.jpg,A,yes,yes,PCS single heater incl. rainshower set,needs_permission,candidate,"Q: ""Joven"" ""SL30iP-RS"" site:.com.my; ""SL30iP-RS"" official Malaysia; filetype:pdf; distributor query. Opened official SL30iP-RS page SKU 5101501: live; jsonConfig colour swatch maps White->child variant with gallery images 5101501001-2.jpg + 5101501001-4.jpg; downloaded main image and confirmed WHITE casing with chrome rainshower bar. Prior 'colour_unproven' finding outdated - white RS asset IS on official page.",Obtain Joven MY permission before publishing image
SIN-SOR-SRTKS2406,PCS,Sorento S/s 304 Kitchen Sink Ultrasonic Nano Tech SRTS2406,Kitchen & Sinks,https://www.sorento.com.my/sorento-kitchen/kitchen-sink/double-bowl/srtks2406-detail,https://www.sorento.com.my/images/stories/virtuemart/product/SRTKS24061.jpg,A,yes,yes,Per piece (EA),needs_permission,candidate,"Q: ""SRTKS2406"" sorento.com.my; site:sorento.com.my srtks2406. Old /index.php detail URL 404s (site restructured); live page opened: H1 SRTKS2406, Undermount SS304 L540xW440xH230mm, Chrome; main img SRTKS24061.jpg (alt SRTKS2406-12.jpg). Supersedes catalogue-PDF-only evidence.",Request written image-use permission from sorento@sorento.com.my
SIN-SOR-SRTKS2408,PCS,Sorento S/s 304 Kitchen Sink Ultrasonic Nano Tech SRTKS2408,Kitchen & Sinks,https://www.sorento.com.my/sorento-kitchen/kitchen-sink/double-bowl/srtks2408-detail,https://www.sorento.com.my/images/stories/virtuemart/product/SRTKS24084.jpg,A,yes,yes,Per piece (EA),needs_permission,candidate,"Q: site:sorento.com.my srtks2408; UNDERMOUNT listing check. Live detail page opened: H1 SRTKS2408, Undermount SS304 L920xW440xH230mm, Chrome; main img SRTKS24084.jpg.",Confirm 920mm size vs spec sheet; request image licence from Sorento
TOI-TRP-WC-2122A-P,SET,Saniware Washdown Two-piece Closet WC-2122A-P180MM,Bathroom,,,C,unresolved,no,set,no_asset,pending,"Q/probes: /product/wc-2122a-p180/=404; ?s=WC-2122A opens only WC-2122A-S300 (desc: S-trap 250/300mm + P-trap 180mm roughing-in, no P180 SKU); websearch WC-2122A-P180 saniware -> dealers list P-trap 180mm only as spec. variant_not_listed.",Confirm with Saniware whether P-trap 180mm ships as separate code; request official P180 image if it exists
TOI-TRP-WC2110A-P,SET,Saniware Washdown Two-piece Closet WC-2110A-P180MM,Bathroom,,,C,unresolved,no,set,no_asset,pending,"Q/probes: /product/wc-2110a-p180/=404; ?s=WC-2110A opens only WC-2110A-S200 (desc: S-trap 200/250mm, no P-trap); websearch -> dealers list P-trap 180MM as spec only. variant_not_listed.",Confirm P180 ordering code with Saniware; request official image if separate SKU exists
TAP-SAN-SWP-RG-304-3905,PCS,Saniware Premier Kitchen Pillar Sink Tap-rg SWP-RG-304-3905,Kitchen & Sinks,,,C,unresolved,no,each,no_asset,pending,Q/probes: /product/kitchen-pillar-sink-tap-swp-rg-304-3905/=404; ?s=SWP-RG no results; Kitchen Sink category (10 items) has no 3905; websearch -> model only in Scribd catalogue copies. catalogue_only_not_on_site.,Request current price/stock sheet + official image from Saniware (2022-catalogue item absent from live site)
ELE-BUL-E27-3W-RED,PCS,Taicon E27 3W LED Color Bulb-red,Lighting,,,R,no,no,pc (single colour bulb),no_asset,reject,"Q: ""Taicon"" ""E27"" bulb site:.com.my; ""Taicon electric"" official website; Taicon catalogue filetype:pdf; DNS check taicon.com.my=NXDOMAIN. taicon.com is unrelated JP capacitor maker; brand only on marketplaces/wholesalers. no_official_taicon_website.",Request Taicon catalogue/photo from distributor or photograph stock
JOV-WAT-HEA-SB11IP-BLK-RS,PCS,Joven (blk) Instant Water Heater,Home Appliances,https://www.joven-electric.com/my/sb11ip-rs-4-2kw-instant-water-heater-5111102.html,https://www.joven-electric.com/media/catalog/product/cache/be45d83139bc2950f7fdc035c8252966/s/b/sb11ip-rs_4.2kw_black__1.jpg,A,yes,yes,PCS single heater unit,needs_permission,candidate,"Q: ""SB11iP-RS"" site:.com.my; official Malaysia; filetype:pdf. Opened official SB11iP-RS 4.2kW page SKU 5111102: title/meta confirm model, spec 4.2kW 240V; og:image/main gallery sb11ip-rs_4.2kw_black__1.jpg visually confirmed BLACK unit with black rainshower set. Black maps to 4.2kW variant as expected.",Obtain Joven MY permission before publishing image
STA-ROT-HAM-SHR263KA,UNIT,Stanley Rotary Hammer 26MM,Power Tools,https://my.stanleytools.global/product/shr263ka-xd/720w-22mm-3-mode-sds-plus-hammer,https://theleedenstore.com.my/wp-content/uploads/2023/04/STENLEY-CONCRETE-DRILL-SERIES_STANLEY-SHR-263KA-XD-2KG-26MM-ROTARY-HAMMER-WITH-CHISELDRILL-BITTOOL-BOX-PHOTO-1.jpg,C,unresolved,unresolved,OEM MY page = bare tool; Leeden listing = kit w/ chisel+bit+toolbox,unknown,pending,"Q: SHR263KA stanleytools.global; .com.my searches. Opened OEM MY page: LIVE but title/category say 720W 22mm (body text contradicts w/ 800W); no 26mm on OEM page. Opened Leeden (authorised MY distributor): 26mm/800W/3.4J kit, og:image live. Regional split: in=26mm, cca=22mm/720W. spec_conflict unresolved.",Confirm with SBD MY / Leeden whether MY-market SHR263KA-XD is 26mm or 22mm; if 26mm confirmed use Leeden asset with permission
KHI-COO-RC3636,SET,3.6L Rice Cooker (cool Grey),Home Appliances,https://khind.com.my/products/3-6l-commercial-rice-cooker,,B,unresolved,yes,SET commercial rice cooker,needs_permission,pending,"Q: ""RC365"" khind official; opened khind.com.my/products/3-6l-commercial-rice-cooker: title 'KHIND 3.6L Commercial Rice Cooker RC365' RM209, single media asset = RC365_WH_Cover.jpg (WH=WHITE cover). Cool Grey stated officially only on 5.6L RC565 spec page (Colour: Cool Grey), not for RC365. Model exact; finish chain unresolved.",colour_unproven: confirm RC365 grey variant exists with Khind or photograph own stock; do NOT reuse white-cover asset for grey listing
