source_position,item_code,uom,display_name,category,stock_qty,price_myr,priority_tier,detected_brand,detected_model,action,prior_decision,prior_page,prior_image,prior_local_asset,prior_source,prior_reason,useful_brand_or_model
147,BOS-2608-619-701,PCS,Cutting Disc Metal,Abrasives & Cutting,2303,2.70,1,Bosch,105MMX1.2MMX16MM,skip_pass,candidate,https://www.bosch-pt.com.my/my/en/stainless-steel-and-metal-cutting-disc-green-long-life-for-small-angle-grinders-with-bore-16-mm-8107424-ocs-ac/,https://www.bosch-pt.com.my/my/en/ocsmedia/optimized/137x77/o615543v82_2608619701_bo_pro_u_f_1.png,,pass-queue-waiting,already OpenCode/dual pass,yes
269,BOS-2608-600-017,PCS,4 Grinding Disc,Abrasives & Cutting,1154,3.50,1,Bosch,,skip_pass,candidate,https://www.bosch-pt.com.my/my/en/pro-metal-bonded-grinding-disc-for-small-angle-grinders-bore-16-mm-osa-3090859-ocs-ac/,https://www.bosch-pt.com.my/my/en/ocsmedia/470318-82/product-image/272x153/pro-metal-grinding-disc-100-x-6-x-16-mm-2608600017.png,,pass-queue-waiting,already OpenCode/dual pass,yes
134,ELE-D/L-MEG-YTA60Z1-10W,PCS,Megaman A60 E27 LED Bulb YTA60Z1 10W/6500K,Lighting,54,8.90,1,Megaman,A60,skip_pass,candidate,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
138,ELE-D/L-MEG-YTP38B1-10W,PCS,Megaman LED Stick Bulb Plc YTP38B1 10W/6500K,Lighting,38,11.80,1,Megaman,YTP38B1,skip_pass,candidate,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8-2.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
185,ELE-D/L-MEG-YTA60Z1-10W-4000K,PCS,Megaman A60 E27 LED Bulb YTA60Z1 10W/4000K,Lighting,36,8.80,1,Megaman,A60,skip_pass,candidate,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
154,ELE-D/L-MEG-YTP38B1-10W-4000K,PCS,Megaman LED Stick Bulb Plc YTP38B1 10W/4000K,Lighting,35,11.80,1,Megaman,YTP38B1,skip_pass,candidate,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8-2.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
153,ELE-D/L-MEG-YTA70Z1-15W,PCS,Megaman A70 E27 LED Bulb YTA70Z1 15W/6500K,Lighting,31,13.90,1,Megaman,A70,skip_pass,candidate,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
178,ELE-D/L-MEG-YTP38B1-10W-3000K,PCS,Megaman LED Stick Bulb Plc YTP38B1 10W/3000K,Lighting,30,11.80,1,Megaman,YTP38B1,skip_pass,candidate,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8-2.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
197,ELE-D/L-MEG-YTA65Z2-12W,PCS,Megaman A65 E27 LED Bulb,Lighting,26,11.30,1,Megaman,A65,skip_pass,candidate,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
237,ELE-D/L-MEG-YTG45Z1-5W,PCS,Megaman G45 E27 LED Bulb YTG45Z1/5W 5W/6500K,Lighting,26,7.50,1,Megaman,G45,skip_pass,candidate,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg,,pass-queue-waiting,already OpenCode/dual pass,yes
