"ordinal","source_position","item_code","uom","action"
"1","271","AGR-NET-SUN-GLO-70%","MTR","search"
"2","284","PIP-HDPE-25MM-3/4""","MTR","search"
"3","257","TAR-SHT-GT2-O/B-6'","MTR","search"
"4","296","NAI-COM-65MM-20KG","PCK","search"
"5","299","NAI-COM-50MM-20KG","PCK","search"
"6","289","IND-WIR-MES-1212-20GX100","FTS","search"
"7","544","GLO-COT-700-ZS70","PAIR","search"
"8","816","GLO-COT-104-WHI","PAIR","search"
"9","562","IND-SCO-SMR-S501TY","PCS","search"
"10","924","GLO-SEM-GT891/RED","PAIR","search"
"11","989","GLO-SEM-GT891/YEL","PAIR","search"
"12","393","GLO-WEL-GT900/BLU","PAIR","search"
"13","394","GLO-WEL-GT900/RED","PAIR","search"
"14","794","GLO-WEL-SUP-500SPG","PAIR","search"
"15","4189","BRA-STEEL-L-1""X1""","PCS","search"
"16","3994","BRA-STEEL-L-1.5""X1.5""","PCS","search"
"17","4550","ELE-CLI-CON-10A-2WAY","PCS","search"
"18","2859","ELE-CAB-WIR-ASIA-2.5BK*","MTR","search"
"19","4548","BNW-NUT-SS304-M06","PCS","search"
"20","2996","PLUG-TOP-SIR-13AMP","PCS","search"
"21","4800","NAIL-RETAINING- CLIP-PVC-S110","PCK","search"
"22","3719","SWI-LAM-HOL-B218E27","PCS","search"
"23","3770","SWI-LAM-HOL-W218E27","PCS","search"
"24","4955","ELE-CAB-TWI-B/W-MAXWELL","MTR","search"
"25","4926","BNW-NUT-SS304-M10","PCS","search"
"26","3297","SHH-BELL-SINGL-PSC115","PCS","search"
"27","3403","ELE-HOL-SE3831","PCS","search"
"28","2945","ABR-PAP-621-527","SHT","search"
"29","4103","WAL-PLU-S/S-CC225-M6X60MM","PCS","search"
"30","3088","CLI-HOS-GP-1/2""","PCS","search"
"31","5550","FIT-PVC-SOC-REC-20MMX15MM","PCS","search"
"32","3005","CLI-HOS-GP-5/8""","PCS","search"
"33","4317","FIT-PVC-ELB-20MMX15MM","PCS","search"
"34","3003","ABR-PAP-621-533","SHT","search"
"35","3002","ABR-PAP-621-532","SHT","search"
"36","3027","ABR-PAP-621-536","PCS","search"
"37","4221","WAL-PLU-S/S-60MM","PCS","search"
"38","5508","ELE-CAB-WIR-1.5-YELLOW*","MTR","search"
"39","5904","ELE-PVC-SOC-TC1820MM","PCS","search"
"40","3224","FAS-BOL-EXP-12100","PCS","search"
"41","3162","ROP-WIR-GAL-6.0MM","MTR","search"
"42","3084","ABR-PAP-621-537","SHT","search"
"43","3085","ABR-PAP-621-538","SHT","search"
"44","3862","ELE-HOL-293-B22","PCS","search"
"45","3152","ABR-PAP-621-528","SHT","search"
"46","2985","CLI-HOS-GP-1""","PCS","search"
"47","5849","BNW-NUT-SS304-M08","PCS","search"
"48","6064","BNW-WAS-M6","PCK","search"
"49","4186","WEL-GLA-BLA-NO.10","PCS","search"
"50","3197","ABR-PAP-621-540","SHT","search"
"51","3238","ABR-PAP-621-530","SHT","search"
"52","3402","ELE-CAB-WIR-ASIA-2.5Y*","MTR","search"
"53","2856","CLI-HOS-13-23","PCS","search"
"54","2629","ELE-CAB-PVC-4.00MM-BLK-MTR","MTR","search"
