"source_position","item_code","uom","display_name","prior_status","opencode_decision","finish_exact","model_exact","url_live","source_ok","official_product_page","official_image_url","local_asset_path","rights_status","reason","human_action"
"147","BOS-2608-619-701","PCS","Cutting Disc Metal","pass-queue-waiting","fail","","","yes","no","https://www.bosch-pt.com.my/my/en/stainless-steel-and-metal-cutting-disc-green-long-life-for-small-angle-grinders-with-bore-16-mm-8107424-ocs-ac/","https://www.bosch-pt.com.my/my/en/ocsmedia/optimized/137x77/o615543v82_2608619701_bo_pro_u_f_1.png","","needs_permission","image:404 ct=text/html","requeue_search"
"269","BOS-2608-600-017","PCS","4 Grinding Disc","pass-queue-waiting","pass","","","yes","yes","https://www.bosch-pt.com.my/my/en/pro-metal-bonded-grinding-disc-for-small-angle-grinders-bore-16-mm-osa-3090859-ocs-ac/","https://www.bosch-pt.com.my/my/en/ocsmedia/470318-82/product-image/272x153/pro-metal-grinding-disc-100-x-6-x-16-mm-2608600017.png","","needs_permission","live ok; model token [2608600017] on page","none"
"134","ELE-D/L-MEG-YTA60Z1-10W","PCS","Megaman A60 E27 LED Bulb YTA60Z1 10W/6500K","pass-queue-waiting","pass","","","yes","yes","https://megaman.com.my/product/led-g-a-bulb/","https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg","","needs_permission","live ok; model token [yta60z1] on page","none"
"138","ELE-D/L-MEG-YTP38B1-10W","PCS","Megaman LED Stick Bulb Plc YTP38B1 10W/6500K","pass-queue-waiting","pass","","","yes","yes","https://megaman.com.my/product/led-stick/","https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8-2.jpg","","needs_permission","live ok; model token [ytp38b1] on page","none"
"185","ELE-D/L-MEG-YTA60Z1-10W-4000K","PCS","Megaman A60 E27 LED Bulb YTA60Z1 10W/4000K","pass-queue-waiting","pass","","","yes","yes","https://megaman.com.my/product/led-g-a-bulb/","https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg","","needs_permission","live ok; model token [yta60z1] on page","none"
"154","ELE-D/L-MEG-YTP38B1-10W-4000K","PCS","Megaman LED Stick Bulb Plc YTP38B1 10W/4000K","pass-queue-waiting","pass","","","yes","yes","https://megaman.com.my/product/led-stick/","https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8-2.jpg","","needs_permission","live ok; model token [ytp38b1] on page","none"
"153","ELE-D/L-MEG-YTA70Z1-15W","PCS","Megaman A70 E27 LED Bulb YTA70Z1 15W/6500K","pass-queue-waiting","pass","","","yes","yes","https://megaman.com.my/product/led-g-a-bulb/","https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg","","needs_permission","live ok; model token [yta70z1] on page","none"
"178","ELE-D/L-MEG-YTP38B1-10W-3000K","PCS","Megaman LED Stick Bulb Plc YTP38B1 10W/3000K","pass-queue-waiting","pass","","","yes","yes","https://megaman.com.my/product/led-stick/","https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8-2.jpg","","needs_permission","live ok; model token [ytp38b1] on page","none"
"197","ELE-D/L-MEG-YTA65Z2-12W","PCS","Megaman A65 E27 LED Bulb","pass-queue-waiting","pass","","","yes","yes","https://megaman.com.my/product/led-g-a-bulb/","https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg","","needs_permission","live ok; model token [yta65z2] on page","none"
"237","ELE-D/L-MEG-YTG45Z1-5W","PCS","Megaman G45 E27 LED Bulb YTG45Z1/5W 5W/6500K","pass-queue-waiting","pass","","","yes","yes","https://megaman.com.my/product/led-g-a-bulb/","https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg","","needs_permission","live ok; model token [ytg45z1] on page","none"
"168","ELE-D/L-MEG-YTP45Z1-15W-4000K","PCS","Megaman LED Stick Bulb E27 YTP45Z1 15W/4000K","pass-queue-waiting","pass","","","yes","yes","https://megaman.com.my/product/led-stick/","https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8-2.jpg","","needs_permission","live ok; model token [ytp45z1] on page","none"
"252","BOS-0600-8A7-FLO","UNIT","Easy Aqt 110 High P/cleaner","pass-queue-waiting","pass","","","yes","yes","https://www.bosch-diy.com/my/en/p/easyaquatak-110-06008a7fl0","https://www.bosch-diy.com/imagestorage/en-my/easyaquatak-110-100044179-hires-png-rgb-oneux-263458_w_1600_h_800.png","","needs_permission","live ok; model token [] on page","none"
"174","ELE-D/L-MEG-YTP45Z1-15W-3000K","PCS","Megaman LED Stick Bulb E27 YTP45Z1 15W/3000K","pass-queue-waiting","pass","","","yes","yes","https://megaman.com.my/product/led-stick/","https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8-2.jpg","","needs_permission","live ok; model token [ytp45z1] on page","none"
"186","ELE-D/L-MEG-YTA70Z1-15W-4000K","PCS","Megaman A70 E27 LED Bulb YTA70Z1 15W/4000K","pass-queue-waiting","pass","","","yes","yes","https://megaman.com.my/product/led-g-a-bulb/","https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg","","needs_permission","live ok; model token [yta70z1] on page","none"
"221","PAI-SPR-SAM-2K01","PCS","Samurai Clearcoat Spray","pass-queue-waiting","fail","","","yes","yes","https://samuraipaint.com/products/2k01-top-coat-clear","https://samuraipaint.com/cdn/shop/files/2K01_467e5ff6-2529-4889-b249-e99de298513f.jpg","","needs_permission","model-token-not-on-page:[2component]","requeue_search"
"251","FAN-CEI-DEKA-CX156BK12","UNIT","Deka Ceiling Fan X-one 56 Blk","pass-queue-waiting","fail","","","yes","yes","https://deka.my/x-one-56/","https://deka.my/wp-content/uploads/2025/11/X-ONE-56-2560X2560-BK.png","","needs_permission","model-token-not-on-page:[cx156bk12]","requeue_search"
"54","STA-DRI-SCH10D2K","UNIT","Stanley 12V Tower Up Hammer Drill/driver 2.0AH","pass-queue-waiting","pass","","","yes","yes","https://theleedenstore.com.my/product/stanley-sch10d2k-b1-12v-brushed-cordless-hammer-drill-with-2-0ah-battery-1-5a-charger/","https://theleedenstore.com.my/wp-content/uploads/2024/02/STENLEY-CORDLESS-SERIES_STANLEY-SCH10D2K-B1-12V-BRUSHED-CORDLESS-HAMMER-DRILL-WITH-2.0AH-BATTERY-1.5A-CHARGER.jpg","","needs_permission","live ok; model token [sch10d2k] on page","none"
