source_position,item_code,uom,display_name,prior_status,opencode_decision,finish_exact,model_exact,url_live,source_ok,official_product_page,official_image_url,local_asset_path,rights_status,reason,human_action
2515,LAD-H/D-STRO-DS07,UNIT,Strongman D/s H/d Ladder DSHD07 7STEP,candidate,pass,yes,yes,no,yes,https://b2b-uat.sunwaywinstar.com/my/strongman-ds-hd-ladder-dshd07-7step,https://myhwwsstorprod01.obs.my-kualalumpur-1.alphaedge.tmone.com.my/product_images/0000855_strongman-double-sided-heavy-duty-dshd07-7-step_510.jpeg?AccessKeyId=IDRIC5ESEFAJ08W4Q4Q9&Expires=1787228864&Signature=9NtYO%2FjO%2FYfZM41kRi4VG9AtOkU%3D,catalogue\ai-inbox\manus-images\retry-output-branded-2501-7771\branded_retry_2501_7771\assets\2515.jpeg,needs_permission,"Page opened: Sunway Winstar (authorised MY distributor, Strongman Local brand listed) confirms NIETZ/Strongman HEAVY DUTY DOUBLE SIDED 7 STEPS DSHD07, part NZLAHD0207SI. Image signed URL now 403 (signature expired) but preserved local asset exists (17717 bytes) - fail rule requires dead URL AND no local hash.",Gemini must review pixels from local_asset_path (image URL expired). Request fresh distributor asset or owner permission.
2522,FAN-TAB-KDK-KB-304,PCS,Kdk Table Fan 12,candidate,pass,yes,yes,yes,yes,https://www.kdk.com.my/product/kb-304/,https://www.kdk.com.my/wp-content/uploads/2020/09/product-mobile_Table-Fans_KB-304.png,,needs_permission,"Page opened: official KDK Malaysia (Panasonic group brand) KB-304 product page live; model token KB-304 found in page HTML; image URL HTTP 200 image/png 32099 bytes matching official product page asset.",Request KDK/Panasonic MY media permission before production use.
2531,IND-COO-MID-MIC222TLAGN,,Midea Induction Cooker Golden Color 2200W,candidate,pass,yes,yes,yes,yes,https://www.midea.com/my/kitchen-appliances/cooking-appliances/induction-cooker/midea-induction-cooker-mic222tlagn.mic222tlagn,https://web-res.midea.com/content/dam/midea-aem/my/my-new/pdp/domestic-appliances/induction-cooker/mic222tlagn/pd-mic222tlagn-1024x1024.jpg,,needs_permission,"Page opened: official Midea Malaysia PDP titled 'Midea Induction Cooker - MIC222TLAGN'; spec table states Color: Gold, Power: 2200 W - matches display name exactly. Image URL HTTP 200 image/jpeg 138277 bytes on Midea CDN. No local asset; URL live.",Request Midea MY media permission before production use.
2541,BAT-CHA-KENDE-SM1212,UNIT,Kende Battery Charger 12V,candidate,pass,yes,yes,yes,yes,https://www.suiumachinery.com.my/showproducts/productid/4797799/cid/467542/kende-sm1212-612v-portable-battery-inverter-charger-212a/,https://cdn1.npcdn.net/images/f943283aec8e5551a94e1b64d8a07115_1704511396.webp?md5id=a7a0da96b4c16537050114ceed8368c9&new_width=1000&new_height=1000&size=max&w=1694400547&from=jpeg&type=9,catalogue\ai-inbox\manus-images\retry-output-branded-2501-7771\branded_retry_2501_7771\assets\2541.webp,needs_permission,"Sui U Machinery page titles itself Authorized Reseller for KENDE SM1212 6/12V 2-12A charger with full spec sheet (charging voltage 6/12V covers row's 12V claim); OEM kende.com.cn has no SM1212 page so authorised-distributor source is the correct tier. Image URL HTTP 200 image/webp 275034 bytes = byte-identical size to preserved local asset. Distributor page bot-blocks automated fetch but is live in search index.",Confirm Sui U dealership status with Kende; request permission before production use.
2576,HOO-CAB-CB8003-3,,Cabana 3 Robe Hook (polish),candidate,pass,yes,yes,yes,yes,https://cabana.com.my/index.php/products/bathroom/bathroom-accessories/hook-bar/cb8003-3-detail,https://cabana.com.my/images/virtuemart/product/CB8003-3.jpg,,needs_permission,"Page opened: official Cabana (brand site) hook-bar detail page live; model token CB8003-3 found in page HTML; image URL HTTP 200 image/jpeg 348496 bytes, filename matches exact SKU.",Request Cabana media permission before production use.
2582,SHE-CAB-CB781-BL,,Cab Double Corner Shelf (matt Blk) -CB781-BL,candidate,pass,yes,yes,yes,yes,https://cabana.kartfive.com/index.php/products/bathroom/bathroom-accessories/shelf/cb781-bl-detail,https://cabana.kartfive.com/images/virtuemart/product/CB781-BL.jpg,,needs_permission,"Page opened: cabana.kartfive.com is the brand-owner site (footer: Copyright Sorento Sdn Bhd 200501017483, same company as sorento.com.my which owns Cab/Cabana accessories) - not a third-party dealer. Page states verbatim: Double Corner Shelf L350xW140mm S/Steel 304 Matt Black - model CB781-BL and matt-black finish both exact. Image URL HTTP 200 image/jpeg 316454 bytes.",Request Sorento Sdn Bhd media permission before production use.
2602,IND-CEM-GREY-25KG,BAG,Sika Ceram 88 (25KG/BAG),candidate,pass,yes,yes,yes,yes,https://mys.sika.com/en/construction/tile-setting/tile-adhesives/sikaceram-88.html,https://sika.scene7.com/is/image/sikacs/my-SikaCeram-88-25kg-01536099:1-1?wid=480&hei=480&fit=crop%2C1,catalogue\ai-inbox\manus-images\retry-output-branded-2501-7771\branded_retry_2501_7771\assets\2602.jpg,needs_permission,"Page opened: official Sika Malaysia Sikaceram-88 tile adhesive page live; model token found in HTML; Scene7 image URL HTTP 200 image/jpeg 31479 bytes = identical size to preserved local asset; image name carries 25kg pack code my-SikaCeram-88-25kg-01536099. Grey colour is the standard Ceram-88 cement grey shown in official asset.",Request Sika MY media permission before production use.
2645,DC-DSM09-100S,,Angle Grinder / DSM09-100S,candidate,fail,unresolved,unresolved,no,no,https://www.dongchengmalaysia.com/product/dsm09-100s/,https://www.dongchengmalaysia.com/wp-content/uploads/2024/11/images-2.jpg,,no_asset,"FAIL: dongchengmalaysia.com intermittently unreachable (page fetch transport error; image download succeeded once then connection refused). Image images-2.jpg is only 3590 bytes - thumbnail-grade, not a usable product shot. No local asset preserved. Cannot confirm model/finish from a stable official source.",APPENDED TO JOB 2: re-source stable official DongCheng MY/SG page or official PDF crop for DSM09-100S; store asset locally once found.
2705,SHE-CAB-CB782-BL,,Cab Double Shelf (matt Blk) -CB782-BL,candidate,pass,yes,yes,yes,yes,https://www.cabana.com.my/index.php/products/bathroom/bathroom-accessories/shelf/cb782-bl-detail,https://www.cabana.com.my/images/virtuemart/product/CB782-BL.jpg,,needs_permission,"Page opened: official Cabana shelf detail page live; model token CB782-BL found in page HTML (-BL suffix = matt black per brand convention, matches display name); image URL HTTP 200 image/jpeg 351722 bytes, filename matches exact SKU.",Request Cabana media permission before production use.
2830,X-FAN-CEI-COSA-998,,Alpha Cosa 998 Ceiling Fan - Pwt,candidate,pass,yes,yes,yes,yes,https://www.alphamalaysia.com/ceiling-fans/cx99856,https://www.alphamalaysia.com/sites/default/files/2022-06/CX998%20PWT_0.png,,needs_permission,"Page opened: official Alpha Home Appliances (MY manufacturer, Shah Alam) CX998/56 page; Cosa confirmed as an Alpha ceiling-fan series in site nav; spec table states Model CX998/56, Colours Available: PWT, Fan Width 56 inch - model and finish both exact. Image URL HTTP 200 image/png 181776 bytes on Alpha's own domain.",Request Alpha Home Appliances media permission before production use.
