item_code,uom,display_name,category,category_proposed,reason
DL5-WAT-FIL-0942-GRY,UNIT,DL5 Dalqua 9''X42 Water Filt Sys-fiber Tank Gry,Other,Other,no conservative keyword match
PRE-STO-KHI-SPC6,SET,Khind Pressure Cooker 6L - SPC6,Other,Home Appliances,matched /\b(fan|heater|joven|khind)\b/
BRU-CUP-GDB-75M1015,PCS,Glotool C/brush (b) 75M10*1.5,Other,Paint & Sundries,matched /\b(paint|primer|thinner|nippon|roller|brush)\b/
TOR-ENE-LED-2D,PCK,Eveready 2D Brilliant (GPHH25),Other,Other,no conservative keyword match
TOR-ENE-LED-2AA,PCK,Eveready 2AA Brilliant,Other,Other,no conservative keyword match
PAD-STA-SS30-5140231-49,PCS,Pad Type Stanley SS30,Other,Other,no conservative keyword match
FOL-TAB-CN YX-Z122-3X,PCS,4FT. Folding Table (wooden Slats),Other,Other,no conservative keyword match
SD-L/203Y/24W/CIE/DL-6500K,SET,Cielo Iv 203Y 24W L/surface D/light (round),Other,Other,no conservative keyword match
FOL-TAB-CN YX-Z182D,PCS,6FT Folding Table,Other,Other,no conservative keyword match
FOL-TAB-CNYX-Z122-3X,PCS,4FT Folding Table,Other,Other,no conservative keyword match
FOL-TAB-CNYX-Z152,PCS,5FT Folding Table (wooden Slats),Other,Other,no conservative keyword match
GUIDE BAR-MS230,PCS,18 Stihl Guide BAR,Other,Other,no conservative keyword match
GUIDE BAR-MS180,PCS,16 Stihl Guide BAR,Other,Other,no conservative keyword match
GUIDE BAR-MS170,PCS,14 Stihl Guide BAR,Other,Other,no conservative keyword match
DIS-DIA-DIA-100MM,PCS,Glotool Cutting Blade 100MM,Other,Other,no conservative keyword match
FRE-MID-MD-RC207FZB01,PCS,Midea Chest FREEZER-142L MD-RC207FZB01,Other,Other,no conservative keyword match
BRU-HAN-GLO-462091,PCS,Glotool 462091-3008 H/brush - Brass,Other,Paint & Sundries,matched /\b(paint|primer|thinner|nippon|roller|brush)\b/
MKX-2021-BRUS-3IN1,SET,Mark-x Brushless 3 IN 1 Combination Set,Other,Other,no conservative keyword match
MAT-GRASS-CN-PGM-2MX25M-FTS,ROLL,2M X 25M Plastic Grass Mat Cn,Other,Other,no conservative keyword match
TRO-SHO-CNSC5001,SET,Shopping Trolley (LC-303E) (DC-675),Other,Other,no conservative keyword match
MF-PO-30-SOL-FAN,PCS,Solar Fan MF-PO-30,Other,Home Appliances,matched /\b(fan|heater|joven|khind)\b/
TANK-REC-450L,DRUM,450L Rectangular Tank (2),Other,Other,no conservative keyword match
FRE-MID-MD-RC151FZB01,PCS,Midea Chest FREEZER-99L MD-RC151FZB01,Other,Other,no conservative keyword match
BRU-SPO-B3PCS,PKT,3M 213 Scouring Sponge Pad W/ab 3'S (kh SB1200775),Other,Other,no conservative keyword match
AUT-POL-AUT-SS75ML,PCS,Autosol S/steel,Other,Other,no conservative keyword match
PLUG-TOP-UMS-13A,PCS,Ums 13A Plugtop (PT130R-S),Other,Other,no conservative keyword match
DOE-LOC-ATLP-0910SN,SETS,Sn Armor Tubular Lever On Plate,Other,Other,no conservative keyword match
GER-PLUG-BPM6A,PCS,Ngk 14 X 9.5 Sparkplug -BPM6A,Other,Other,no conservative keyword match
WIR-BRC-65C-45M,ROLL,65C X 45M Brc Welded MS Grill,Other,Other,no conservative keyword match
SPO-SCOTCH-BRITE-3M,PCK,3M Scotch Brite 31B 3PCS Scouring Pad (KH1578-6),Other,Other,no conservative keyword match
BUT-STOP-0201,PCS,Stop Button,Other,Other,no conservative keyword match
NP-BAR-B800-5L,UNIT,5L Bintang Automative Refinish B800 Black (basic),Other,Other,no conservative keyword match
GRE-TOYO-450GM,TIN,Toyo Eaj 8000 Hi-temp Bentonite Grease,Other,Other,no conservative keyword match
