item_code,uom,display_name,display_name_proposed,changed
JOV-WAT-HEA-SL30IP-BLK-RS,PCS,Joven (black) Instant Water Heater SL30IP-RS,Joven (black) Instant Water Heater SL30IP-RS,no
JOV-WAT-HEA-SL30IP-BLK,PCS,Joven (black) Instant Water Heater SL30IP,Joven (black) Instant Water Heater SL30IP,no
JOV-WAT-HEA-SL30IP-WHI,PCS,Joven (white) Instant Water Heater SL30IP,Joven (white) Instant Water Heater SL30IP,no
JOV-WAT-HEA-SL30IP-WHI-RS,PCS,Joven (white) Instant Water Heater SL30IP-RS,Joven (white) Instant Water Heater SL30IP-RS,no
JOV-WAT-HEA-SA20E,PCS,Joven Instant Water Heater,Joven Instant Water Heater,no
SIN-SOR-SRTKS2406,PCS,Sorento S/s 304 Kitchen Sink Ultrasonic Nano Tech SRTS2406,Sorento S/s 304 Kitchen Sink Ultrasonic Nano Tech SRTS2406,no
JOV-WAT-HEA-SA8E,PCS,Joven SA8E Instant Water Heater,Joven SA8E Instant Water Heater,no
SIN-SOR-SRTKS2408,PCS,Sorento S/s 304 Kitchen Sink Ultrasonic Nano Tech SRTKS2408,Sorento S/s 304 Kitchen Sink Ultrasonic Nano Tech SRTKS2408,no
TOI-TRP-WC-2122A-P,SET,Saniware Washdown Two-piece Closet WC-2122A-P180MM,Saniware Washdown Two-piece Closet WC-2122A-P180MM,no
TOI-TRP-WC2110A-P,SET,Saniware Washdown Two-piece Closet WC-2110A-P180MM,Saniware Washdown Two-piece Closet WC-2110A-P180MM,no
JOV-WAT-HEA-SL30E-WHI-RS,PCS,Joven (white) Instant Water Heater SL30E-RS,Joven (white) Instant Water Heater SL30E-RS,no
SHO-SAN-SWP-BSP-9003G,PCS,Saniware Premier 3WAY Bath Expose Shower Set-mixer (gold),Saniware Premier 3WAY Bath Expose Shower Set-mixer (gold),no
SHO-SAN-SWP-BSP-9003RG,PCS,Saniware Premier 3WAY Bath Expose Shower Set-mixer (rose Gold),Saniware Premier 3WAY Bath Expose Shower Set-mixer (rose Gold),no
TAP-SAN-SWP-RG-304-3905,PCS,Saniware Premier Kitchen Pillar Sink Tap-rg SWP-RG-304-3905,Saniware Premier Kitchen Pillar Sink Tap-rg SWP-RG-304-3905,no
FAN-CEI-DEKA-CF5DCL46MB12,UNIT,Deka Ceiling Fan F5 DC~46L Pro Matt Blk,Deka Ceiling Fan F5 DC~46L Pro Matt Blk,no
ELE-BUL-E27-3W-RED,PCS,Taicon E27 3W LED Color Bulb-red,Taicon E27 3W LED Color Bulb-red,no
TAP-SAN-SWP-B-2521,PCS,Saniware Premier Basin Pillar Tap-mixer SWP-B-2521,Saniware Premier Basin Pillar Tap-mixer SWP-B-2521,no
JOV-WAT-HEA-SB11IP-BLK-RS,PCS,Joven (blk) Instant Water Heater,Joven (blk) Instant Water Heater,no
RUB-TAE11-M330,UNIT,Rubine C/hood,Rubine C/hood,no
STA-ROT-HAM-SHR263KA,UNIT,Stanley Rotary Hammer 26MM,Stanley Rotary Hammer 26MM,no
TAP-SAN-SWP-B-3023,PCS,Saniware Premier Basin Pillar Cold Tap (rose Gold) SWP-B-3023,Saniware Premier Basin Pillar Cold Tap (rose Gold) SWP-B-3023,no
OVEN-RUB-TAE13-M266,UNIT,Rubine Built-in Oven RBO-IA8X-70SS,Rubine Built-in Oven RBO-IA8X-70SS,no
KHI-COO-RC3636,SET,3.6L Rice Cooker (cool Grey),3.6L Rice Cooker (cool Grey),no
SHO-SOR-SRTSA830,PCS,Sorento 450MM Shower Arm,Sorento 450MM Shower Arm,no
SHO-SOR-SRTSA860-GM,PCS,Sorento 400MM Shower Arm,Sorento 400MM Shower Arm,no
JOV-WAT-HEA-SB11IP-WHI,PCS,Joven (white) Instant Water Heater SB11IP,Joven (white) Instant Water Heater SB11IP,no
TAP-SAN-SWP-SS-304-3940-RG,PCS,Saniware Premier Kitchen Pillar Sink Tap-rg SWP-SS-304-3940-RG,Saniware Premier Kitchen Pillar Sink Tap-rg SWP-SS-304-3940-RG,no
TOI-TRP-WC2300-S,SET,Saniware One Piece Washdown Closet,Saniware One Piece Washdown Closet,no
FAN-STA-KHI-SF1682,SET,Khind 16 Stand Fan,Khind 16 Stand Fan,no
ELE-BUL-E27-15W-RED,PCS,Taicon E27 Stick Bulb Red 15W,Taicon E27 Stick Bulb Red 15W,no
TAP-SAN-SWP-B-3213,PCS,Saniware Premier Tall Basin Cold Tap,Saniware Premier Tall Basin Cold Tap,no
JOV-WAT-HEA-SL30IP-WHI-AWB,PCS,Joven (white) Instant Water Heater SL30IP-AWB,Joven (white) Instant Water Heater SL30IP-AWB,no
TOI-TRP-WC2098RL-S,SET,Saniware Washdown One Piece Closet-rimless,Saniware Washdown One Piece Closet-rimless,no
SIN-SOR-SRTKS2429-BL,PCS,Sorento S/steel 304 Kitchen Sink-black,Sorento S/steel 304 Kitchen Sink-black,no
TAP-SAN-SWP-B-2934,PCS,Saniware Premier Basin Pillar Tap-mixer (gold) SWP-B-2934,Saniware Premier Basin Pillar Tap-mixer (gold) SWP-B-2934,no
TAP-SAN-SWP-B-2931,PCS,Saniware Premier Basin Pillar Tap-mixer (matt Black) SWP-B-2931,Saniware Premier Basin Pillar Tap-mixer (matt Black) SWP-B-2931,no
TAP-SAN-SWP-B-2930,PCS,Saniware Premier Basin Pillar Tap-mixer SWP-B-2930,Saniware Premier Basin Pillar Tap-mixer SWP-B-2930,no
IND-RIC-COO-RC7878,SET,5.6L Rice Cooker (cool Grey),5.6L Rice Cooker (cool Grey),no
FAN-STA-KHI-SF1663H,SET,Khind 16 Stand Fan (black),Khind 16 Stand Fan (black),no
TAP-SAN-SWP-B-2924,PCS,Saniware Premier Basin Pillar Tap-mixer (gold) SWP-B-2924,Saniware Premier Basin Pillar Tap-mixer (gold) SWP-B-2924,no
TAP-SAN-SWP-B-2921,PCS,Saniware Premier Basin Pillar Tap-mixer (matt Black) SWP-B-2921,Saniware Premier Basin Pillar Tap-mixer (matt Black) SWP-B-2921,no
CAB-SAN-SWBC-SS6615,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6615,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6615,no
GAS-STO-RUB-TAE10-M523,UNIT,Rubine Glass Hob RGH-LOTOFLEXI2B-BLFX,Rubine Glass Hob RGH-LOTOFLEXI2B-BLFX,no
TAP-SAN-SWP-SS-304-3970-MB,PCS,Saniware Premier Flexible Hose Pillar Sink Tap Waterfall (matt Blk),Saniware Premier Flexible Hose Pillar Sink Tap Waterfall (matt Blk),no
TOI-TRP-WC-8826-S,SET,Sorento Washdown Flushing Tech,Sorento Washdown Flushing Tech,no
CAB-SAN-SWBC-SS6411,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6411,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6411,no
SHO-HAN-SWP-HS-502,SET,Saniware Premier Hand Shower With Flexible Hose SWP-HS-502,Saniware Premier Hand Shower With Flexible Hose SWP-HS-502,no
FAN-CEI-KHI-WHI-CF618,SET,Khind - 60 Ceiling Fan,Khind - 60 Ceiling Fan,no
OVEN-RUB-TAE13-M265,UNIT,Rubine Built-in Oven RBO-IA6X-70SS,Rubine Built-in Oven RBO-IA6X-70SS,no
TAP-SAN-SWP-SS-304-3970,PCS,Saniware Premier Flexible Hose Pillar Sink Tap Waterfall,Saniware Premier Flexible Hose Pillar Sink Tap Waterfall,no
TOI-TRP-WC-SRTWC8354-SH-UF(250MM),PCS,Sorento Twister Flush Tech,Sorento Twister Flush Tech,no
SHO-SOR-SRTWT2634-RG,PCS,Sorento Exposed Shower Set (matt Blk+rose Gold),Sorento Exposed Shower Set (matt Blk+rose Gold),no
STA-GRI-SG6100,UNIT,Stanley Grinder 620W,Stanley Grinder 620W,no
STA-DRI-SCH10D2K,UNIT,Stanley 12V Tower Up Hammer Drill/driver 2.0AH,Stanley 12V Tower Up Hammer Drill/driver 2.0AH,no
TOI-TRP-WC-2110A-S,SET,Saniware Eco Seat Cover Top&bottom Washdown Two-piece Closet,Saniware Eco Seat Cover Top&bottom Washdown Two-piece Closet,no
TOI-TRP-WC-2122A-S,SET,Saniware Washdown Closet WC-2122A-S250MM,Saniware Washdown Closet WC-2122A-S250MM,no
TOI-TRP-WC-SRTWC286-SH-S(250MM),PCS,Sorento One Piece Washdown Flush Tech,Sorento One Piece Washdown Flush Tech,no
TOI-TRP-WC-SRTWC8504-S,PCS,Sorento Washdown W Rimless Flush Tech,Sorento Washdown W Rimless Flush Tech,no
STA-GRI-SCG400-SOLO,UNIT,Stanley 20V Grinder,Stanley 20V Grinder,no
SHO-SOR-SRTWT2634,PCS,Sorento Exposed Shower Set 3-WAYS SRTWT2634,Sorento Exposed Shower Set 3-WAYS SRTWT2634,no
STA-ROT-HAM-SHR243KA,UNIT,Stanley Rotary Hammer 24MM,Stanley Rotary Hammer 24MM,no
