item_code,uom,price_cents
0001,BAY,0
0002,BAY,0
0003,BAY,0
0004,BAY,0
0005,BAY,0
0006,UNIT(S),0
0007,BAY,0
0008,UNIT(S),0
0009,BAY,0
0010,BAY,0
0011,BAY,0
0012,UNIT(S),0
0013,UNIT(S),0
0015,SET,34000
0017,SET,39900
0019,SET,0
0020,SET,0
0020001,PCS,3
0020002,PACK,330
012,SET,36000
1,PCS,0
111,UNIT(S),2358
1234,UNIT(S),0
"1MIC-PP-FIB-10""",PCS,250
2-COMPANY-USE,PCS,0
350D,UNIT,0
350DX900L,UNIT,0
5112NCM,BOX,0
60-02512-5,PCS,0
A,PCS,2900
AB3.0HPOF#FILTER,PC,3150
ABR-PAP-621-527,SHT,230
ABR-PAP-621-528,SHT,230
ABR-PAP-621-529,SHT,230
ABR-PAP-621-530,SHT,230
ABR-PAP-621-531,SHT,230
ABR-PAP-621-532,SHT,230
ABR-PAP-621-533,SHT,200
ABR-PAP-621-534,PCS,200
ABR-PAP-621-535,SHT,200
ABR-PAP-621-536,PCS,200
ABR-PAP-621-537,SHT,200
ABR-PAP-621-538,SHT,200
ABR-PAP-621-539,SHT,200
ABR-PAP-621-540,SHT,200
ABR-PAP-621-541,SHT,200
ABR-PAP-CLO-0#,PCS,120
ABR-PAP-CLO-1#,PCS,120
ABR-PAP-CLO-2#,PCS,120
ABR-PAP-CLO-3#,PCS,120
ABR-PAP-HOL,PCS,590
ABR-PAP-RIK-150#,PCS,190
ABR-PAP-RIK-240#,PCS,190
ABR-PAP-STAR-180#,PCS,190
ABR-PAP-STAR-320#,PCS,190
ABR-PAP-STAR-400#,PCS,190
ABR-PAP-SWA-0060,SHT,280
ABR-PAP-SWA-0080,SHT,250
ABR-PAP-SWA-0100,SHT,210
ABR-PAP-SWA-0120,SHT,200
ABR-PAP-SWA-0150,SHT,190
ABR-PAP-SWA-0180,SHT,190
ABR-PAP-SWA-0220,SHT,190
ABR-PAP-SWA-0240,SHT,190
ABR-PAP-SWA-0280,SHT,190
ABR-PAP-SWA-0320,SHT,190
ABR-PAP-SWA-0360,SHT,190
ABR-PAP-SWA-0400,SHT,190
ABR-PAP-SWA-0500,SHT,190
ABR-PAP-SWA-0600,SHT,190
ABR-PAP-SWA-0800,SHT,190
ABR-PAP-SWA-1000,SHT,200
ABR-PAP-SWA-1200,SHT,210
ABR-PAP-SWA-1500,SHT,220
ABR-PAP-SWA-2000,SHT,250
ACC-BD-90636500,PCS,12800
"ACC-EXH-FAN-KHI-12""",PCS,1900
ACC-HYU-HY-01,PCS,17900
ACC-HYU-HY-15,PCS,19800
ACC-MAR-EURO-1A,PCS,20900
ACC-SM1310-05,PCS,1900
ACC-SPR-HAN,PCS,990
"ACE-HAM-ANC-1/4' X 1 1/2""",PCK,590
ACE-HAM-ANC-1/4X1 1/4,PCK,540
ACE-HAM-ANC-1/4X2,PCK,720
"ACE-NUTS-1/2""X38MM",PCS,210
"ACE-NUTS-3/8""X38MM",PCS,180
"ACE-NUTS-5/16""X38MM",PCS,110
ADH-ALT-110,PCS,450
ADH-ELE-3G,PCS,170
ADH-GLU-NON-DRILL-15G,PCS,690
ADH-GLU-PE175GM,SET,2290
ADH-GLU-PE1KG,SET,10500
ADH-GLU-PE300GM,SET,4190
ADH-GUM-UHU-7ML,PCS,100
ADH-GUM-WALLPAPER,BOX,1850
"ADH-OPP-CLE-1""X40YD",PCS,210
"ADH-TAP-2""",ROLL,1250
"ADH-TAP-3""",ROLL,1590
ADH-TAP-ADH-GT050,PCS,1390
ADH-TAP-ADH-GT050-PCK,PCK,220
ADH-TAP-ADH-GT075,PCS,2390
ADH-TAP-ADH-GT100,PCS,2850
ADH-TAP-ALU-48MMX25M,PCS,1290
ADH-TAP-CLO-BLA,PCS,350
ADH-TAP-CLO-BLU,PCS,350
ADH-TAP-CLO-GRE,PCS,350
ADH-TAP-CLO-RED,PCS,350
ADH-TAP-CLO-SIL,PCS,350
ADH-TAP-CLO-YEL,PCS,350
"ADH-TAP-D/SIDE-1/2""X10Y",ROLL,1220
"ADH-TAP-D/SIDE-3/4""X10Y",ROLL,1700
ADH-TAP-DOU-10MM,PCS,1650
ADH-TAP-DOU-KIN-12MM-BLA,PCS,590
ADH-TAP-DOU-KIN-18MM-BLA,PCS,890
ADH-TAP-DOU-KIN-25MM-BLA,PCS,1150
ADH-TAP-DOU-M12,ROLL,2850
ADH-TAP-DOU-NEW-12MM-RED,PCS,450
ADH-TAP-DOU-NEW-12MMX10M,PCS,160
"ADH-TAP-EVA-KINGS-1/2""-BLACK",ROLL,450
"ADH-TAP-EVA-KINGS-3/4""-BLACK",ROLL,590
ADH-TAP-FIB-50MM,PCS,690
ADH-TAP-FIB-GLO,ROLL,950
ADH-TAP-H/D-4229P,ROLL,3950
ADH-TAP-MAS-18MM,PCS,90
ADH-TAP-MAS-24MM,PCS,100
ADH-TAP-MAS-24MM-WKR,PCS,100
ADH-TAP-MAS-36MM,PCS,180
ADH-TAP-MAS-36MM-WKR,PCS,140
ADH-TAP-MAS-48MM,PCS,190
ADH-TAP-MAS-OSCAR,PCS,340
ADH-TAP-NISSHO-HCH-ES0002,ROLL,670
ADH-TAP-NISSHO-HCH-SG0006,ROLL,1120
ADH-TAP-NISSHO-HCH-SG0077,ROLL,2090
ADH-TAP-NISSHO-HCH-SG0100,ROLL,3150
ADH-TAP-NISSHO-HCH-SG0102,PCS,570
ADH-TAP-OPP-B40Y,PCS,280
ADH-TAP-OPP-B80Y,PCS,420
ADH-TAP-OPP-T40Y,PCS,230
ADH-TAP-OPP-T80Y,PCS,410
ADH-TAP-SEA-2915,PCS,290
ADH-TAP-SEA-3255,PCS,180
ADH-TAP-SEA-G707,PCS,150
ADH-TAP-SEA-MIK,PCS,60
ADH-TAP-SEA-YEL,PCS,630
ADH-TAP-VIP-1215,PCS,100
ADH-TAP-VIP-2510,PCS,340
ADH-TAP-WAR50,ROLL,430
ADH-TAP-WAR70,ROLL,650
ADH-TAP-WAR-Y/B-70MM,ROLL,850
"ADH-TAP-WAT-PRO-2""",PCS,1490
"ADH-TAP-WAT-PRO-3""",PCS,2290
"ADH-TAP-WAT-PRO-4""",PCS,2790
ADH-TAP-WIR-3M,PCS,480
ADH-TAP-WIR-6.5YD-BLK,PCS,90
ADH-TAP-WIR-6.5YD-BLK-ROLL,ROLL,690
ADH-TAP-WIR-6.5YD-RED-ROLL,ROLL,690
ADH-TAP-WIR-7YRD-MIX,PCS,90
ADH-TAP-WIR-SINO-24X20,ROLL,330
ADH-TAP-WIR-SINO-48X10,ROLL,550
ADVERTISING,UNIT(S),0
ADVERTISING (CANCEL),UNIT(S),0
"AER-1MIC-PP-FIB-10""",PCS,830
AER-4MBT44,PCS,750
AER-4MC4,PCS,580
AER-4MC6,PCS,750
AER-4MC8,PCS,920
AER-4ME4,PCS,580
AER-4ME8,PCS,920
AER-4MRT44,PCS,750
AER-4U4,PCS,680
AER-4UE4,PCS,670
AER-4UT44,PCS,830
"AER-5MIC-PP-FIB-10""",PCK,2150
AER-6MC4,PCS,750
AER-6MC6,PCS,750
AER-6MC8,PCS,920
AER-6ME4,PCS,920
AER-6ME8,PCS,920
AER-6U6,PCS,1090
AER-6UT66,PCS,920
AER-BOT-WAT-TAP,PCS,1230
"AER-BV-101(2"")",PCS,1830
"AER-BV-101(3"")",PCS,2000
AER-COL-WAT-TAP,PCS,1190
AER-COL-WAT-TAP-FEMALE,PCS,1270
"AER-CTO-CAR-10""",PCS,1590
AER-DOU-O-RING-HOU-WAT-FIL,UNIT,7900
AER-DOU-WAT-FIL,UNIT,13500
"AER-FA6-2""-FITTING",PCS,1280
"AER-FA6-3""-FITTING",PCS,1290
AER-FIL-TUB-040MM,MTR,230
AER-FIL-TUB-050MM,MTR,430
AER-FIL-TUB-065MM,MTR,430
AER-HOT-WAT-TAP,PCS,1450
AER-HOU-WAT-FIL,UNIT,6590
AER-MIN-POT-WAT-TAP,PCS,960
"AER-OBE-CER-10""",PCS,3000
"AER-RO-JOI-4""+2""",PCS,3490
"AER-RO-JOI-4""+3""",PCS,2830
"AER-RO-JOI-4""X2""",PCS,1930
"AER-RO-JOI-4""X3""",PCS,1930
"AER-S/S-DIA-2""-1WAY",PCS,3790
"AER-S/S-DIA-2""-2WAY",PCS,2950
"AER-S/S-DIA-2""-2WAY-FN910D",PCS,2950
"AER-S/S-DIA-3""-1WAY",PCS,3700
"AER-S/S-DIA-3""-2WAY",PCS,3650
AER-SIN-WAT-FIL,UNIT,10900
AER-SOC,UNIT,1400
