item_code,catalogue_uom,excel_uom,display_name,catalogue_price_myr,excel_price_1,excel_qty,excel_description,reason
ELE-FAJAR-FLX-2.5MM-GREY,COIL,MTR,Fajar 2.5MM (50/0.25) X Flexible Cable (grey) (COIL),1749.00,12.90,301.1,FAJAR 2.5MM(50/0.25) X 3CORE FLEXIBLE CABLE (GREY) [EX],uom_mismatch_not_applied
TAR-SHT-GT2-O/B-6',COIL,MTR,Glotool PE Trap (GT-02) 6'X70YDS,254.00,8.90,353.7,GLOTOOL PE TRAP (GT-02) 6'X70YDS,uom_mismatch_not_applied
AGR-NET-SUN-GLO-70%,ROLL,MTR,Glotool Sun Shade Netting (70%),96.90,2.90,243.8,GLOTOOL SUN SHADE NETTING (70%),uom_mismatch_not_applied
"PIP-HDPE-25MM-3/4""",ROLL,MTR,"HDPE Pipe 25MM (3/4"") PN12.5(MS-1058)",244.00,3.20,1028.5,"HDPE PIPE 25MM(3/4"") PN12.5(MS-1058)    [EX]",uom_mismatch_not_applied
IND-WIR-MES-1212-20GX100,ROLL,FTS,Wire Mesh 1/2/ X 1/2 X 3 X 20G X 100,194.00,2.90,315.5,WIRE MESH 1/2/ X 1/2 X 3' X 20G X 100'    [EX],uom_mismatch_not_applied
NAI-COM-65MM-20KG,BOX,PCK,2 1/2 Wire Nail,114.00,3.20,1099,"2 1/2"" WIRE NAIL     [EX]",uom_mismatch_not_applied
NAI-COM-50MM-20KG,BOX,PCK,2 Wire Nail,114.00,3.20,693.6,"2"" WIRE NAIL     [EX]",uom_mismatch_not_applied
GLO-WEL-GT900/BLU,DOZ,PAIR,Welding Glove - 900GT/BLUE,189.00,15.90,3,WELDING GLOVE - 900GT/BLUE,uom_mismatch_not_applied
GLO-WEL-GT900/RED,DOZ,PAIR,Welding Glove - 900GT/RED,189.00,15.90,20,WELDING GLOVE - 900GT/RED,uom_mismatch_not_applied
GLO-COT-700-ZS70,DOZ,PAIR,Cotton Glove ZS70,13.20,1.20,202,COTTON GLOVE ZS70,uom_mismatch_not_applied
IND-SCO-SMR-S501TY,DOZ,PCS,Samurai King Steel Shovel S501TY,169.00,16.90,37,SAMURAI KING S501TY STEEL SHOVEL,uom_mismatch_not_applied
IND-SCO-SMR-S503TY,DOZ,PCS,Samurai King Steel Shovel S503TY (DOZ),169.00,16.90,49,SAMURAI KING S503TY STEEL SHOVEL,uom_mismatch_not_applied
GLO-WEL-SUP-500SPG,DOZ,PAIR,Welding Glove - 500SP/GREEN,129.00,9.90,9,WELDING GLOVE - 500SP/GREEN,uom_mismatch_not_applied
GLO-COT-104-WHI,DOZ,PAIR,Cotton Glove B104,10.60,1.20,215,COTTON GLOVE B104,uom_mismatch_not_applied
GLO-SEM-GT891/RED,DOZ,PAIR,Semi Leather Gloves - 800 Sn/red,94.90,8.50,11,SEMI LEATHER GLOVES - 800 SN/RED,uom_mismatch_not_applied
IND-SCO-SMR-S512TY,DOZ,PCS,Samurai King Steel Shovel S512TY (DOZ),169.00,16.90,31,SAMURAI KING S512TY STEEL SHOVEL,uom_mismatch_not_applied
GLO-SEM-GT891/YEL,DOZ,PAIR,Semi Leather Gloves - 800 Sn/yellow,94.90,8.50,16,SEMI LEATHER GLOVES - 800 SN/YELLOW,uom_mismatch_not_applied
BOS-2608-585-880,SET,PCS,Hss-g Cobal Bit 4.0MM,62.90,6.60,8,HSS-G COBAL BIT 4.0MM,uom_mismatch_not_applied
BOS-2608-585-889,SET,PCS,Hss-g Cobal Bit 6.0MM (SET),109.00,11.50,26,HSS-G COBAL BIT 6.0MM,uom_mismatch_not_applied
BOS-2608-585-874,SET,PCS,Hss-g Cobal Bit 2.0MM,47.90,4.30,13,HSS-G COBAL BIT 2.0MM,uom_mismatch_not_applied
BOS-2608-585-876,SET,PCS,Hss-g Cobal Bit 3.0MM,47.90,4.60,18,HSS-G COBAL BIT 3.0MM,uom_mismatch_not_applied
BOS-2608-595-056,SET,PCS,Hss-g Metal Bit 3.2MM,47.90,4.50,19,HSS-G METAL BIT 3.2MM,uom_mismatch_not_applied
BOS-2608-595-058,SET,PCS,Hss-g Metal Bit 3.5MM,47.90,4.70,0,HSS-G METAL BIT 3.5MM,uom_mismatch_not_applied
AGR-NET-SUN-GLO-50%,ROLL,MTR,Glotool Sun Shade Netting (50%),82.90,2.40,538,GLOTOOL SUN SHADE NETTING (50%),uom_mismatch_not_applied
GLO-COT-GRY-1220,DOZ,PAIR,Polyester Grip Cotton Glove Grey,43.90,3.40,45,POLYESTER GRIP COTTON GLOVE GREY,uom_mismatch_not_applied
BOS-2608-595-055,SET,PCS,Hss-g Metal Bit 3.0MM,36.90,3.40,1,HSS-G METAL BIT 3.0MM,uom_mismatch_not_applied
BOS-2608-595-066,SET,PCS,Hss-g Metal Bit 6.0MM (SET),67.90,6.60,21,HSS-G METAL BIT 6.0MM,uom_mismatch_not_applied
GLO-COT-BLK-1220,DOZ,PAIR,Polyester Grip Cotton Glove Black,47.90,3.60,38,POLYESTER GRIP COTTON GLOVE BLACK,uom_mismatch_not_applied
BOS-2608-585-875,SET,PCS,Hss-g Cobal Bit 2.5MM (SET),47.90,4.40,16,HSS-G COBAL BIT 2.5MM,uom_mismatch_not_applied
