item_code,uom,price_cents
RUB-TAE11-M310,UNIT,275000
X-RUB-TAE11-M321,UNIT,288000
BOS-0601-3A3-1L0,UNIT,15500
OVEN-RUB-TAE13-M266,UNIT,259000
OVEN-RUB-TAE13-M507,UNIT,203000
OVEN-RUB-TAE13-M265,UNIT,229000
X-RUB-TRB08-006,UNIT,133800
TOI-TRP-WC-SRTWC8366-S(250MM),PCS,179900
SHO-SOR-SRTWT2634,PCS,94900
SIN-SKS-230-8545-S600,PCS,114900
X-INS-6015,NOS,119900
BOS-0611-321-0L0,UNIT,223800
SHO-SAN-SWP-BSP-9003RG,PCS,112900
SIN-SOR-SRTKS2427-BL,PCS,129900
SHO-SAN-SWP-BSP-9003G,PCS,112800
INS-IS6099,NOS,149000
INS-IS6080A-S,SET,168000
SIN-SOR-SRTKS2431,PCS,149900
BATH-SRTBF31416,PCS,148800
X-GAS-STO-RUB-TAE10-M372,UNIT,129900
SIN-SKS-230-8545L-S600-SIL,PCS,94900
TOI-TRP-WC-SRTWC8354-SH-UF(250MM),PCS,119900
TOI-TRP-WC-SRTWC286-SH-S(250MM),PCS,109900
TOI-TRP-WC-SRTWC8504-S,PCS,109900
BATH-SRTBF31514,PCS,129900
TANK-REC-450L,DRUM,32900
GAS-STO-RUB-TAE10-E102,UNIT,159000
OVEN-RUB-TAE13-M503,UNIT,139000
SIN-SOR-SRTKS2408,PCS,114900
NIP-SAT-GLO-15L-D,DRUM,53590
INS-IS6082-BWL-250,NOS,108000
SIN-SKS-7645,PCS,84900
SIN-SWP-10549,PCS,83900
BATH-SRTBF31417,PCS,108800
TOI-TRP-WC-SRTWC8518-SH-S,PCS,94900
SIN-SKS-230-8545-S600-SIL,PCS,85900
SHO-SOR-SRTWT2634-RG,PCS,109800
BOS-0600-8A7-7L0,UNIT,239800
SINK-CAB-CKS7548-BL,PCS,128800
RUB-TAE11-M330,UNIT,399000
FLO-MOC-AZ617GRY,PCS,1790
BOS-0600-910-0L0SH,UNIT,242900
SIN-SOR-SRTKS2429-BL,PCS,89900
TAP-SIN0-SRTKT71SS-BL,PCS,53900
DC-DCZC04-24EK,SET,104900
RUB-TAE10-M371,UNIT,86000
RUB-TRT02-SA100,UNIT,38800
KING KONG-HR150-1500L,UNIT,166000
BOX-ICE-5LTR-RED/BLUE/GRE,PCS,3300
BOS-0603-9E0-050,UNIT(S),35900
