item_code,uom,display_name,category,stock_qty,old_price_myr,new_price_myr,delta_myr,pct_change,excel_qty,item_group
RUB-TAE11-M310,UNIT,Rubine Rch-sirocco-bl Cooker Hood,Kitchen & Sinks,6,53.90,2750.00,2696.10,5002.04,6,FIAMMA 5%
X-RUB-TAE11-M321,UNIT,Rubine Rch-thora-ss Cooker Hood,Kitchen & Sinks,1,749.00,2880.00,2131.00,284.51,1,FIAMMA 5%
BOS-0601-3A3-1L0,UNIT,Gws 700 Angle Grinder,Power Tools,2,1069.00,155.00,-914.00,-85.50,2,CMW ENGINEERING3
OVEN-RUB-TAE13-M266,UNIT,Rubine Built-in Oven RBO-IA8X-70SS,Home Appliances,2,1699.00,2590.00,891.00,52.44,2,
OVEN-RUB-TAE13-M507,UNIT,Rubine M/wave Oven RMO-934SS-GD34X,Home Appliances,1,1229.00,2030.00,801.00,65.17,1,
OVEN-RUB-TAE13-M265,UNIT,Rubine Built-in Oven RBO-IA6X-70SS,Home Appliances,1,1699.00,2290.00,591.00,34.79,1,
X-RUB-TRB08-006,UNIT,Rubine Rjs 622 S/s Sink (1BB+1SB),Kitchen & Sinks,1,779.00,1338.00,559.00,71.76,1,
TOI-TRP-WC-SRTWC8366-S(250MM),PCS,Sorento One Piece Washdown W Rimless Flush Tech,Bathroom,1,1309.00,1799.00,490.00,37.43,1,SYNTALUN
SHO-SOR-SRTWT2634,PCS,Sorento Exposed Shower Set 3-WAYS SRTWT2634,Bathroom,1,1419.00,949.00,-470.00,-33.12,1,SYNTALUN
SIN-SKS-230-8545-S600,PCS,Handmade Nano Black Double Bowl K/sink,Kitchen & Sinks,2,679.00,1149.00,470.00,69.22,2,VTC HARDWARE
X-INS-6015,NOS,Leece One Piece Water Closet - S Trap,Plumbing,1,759.00,1199.00,440.00,57.97,1,IN CERAM
BOS-0611-321-0L0,UNIT,Gsh 5CE Demolition Hammer,Power Tools,1,1799.00,2238.00,439.00,24.40,1,CMW ENGINEERING2
SHO-SAN-SWP-BSP-9003RG,PCS,Saniware Premier 3WAY Bath Expose Shower Set-mixer (rose Gold),Bathroom,1,729.00,1129.00,400.00,54.87,1,VTC HARDWARE
SIN-SOR-SRTKS2427-BL,PCS,Sorento S/s 304 Kitchen Sink-blk Ultrasonic Nano Tech,Kitchen & Sinks,1,899.00,1299.00,400.00,44.49,1,SYNTALUN
SHO-SAN-SWP-BSP-9003G,PCS,Saniware Premier 3WAY Bath Expose Shower Set-mixer (gold),Bathroom,1,729.00,1128.00,399.00,54.73,1,VTC HARDWARE
INS-IS6099,NOS,One Piece Wash Down WC S-TRAP-250MM IS6099,Plumbing,2,1109.00,1490.00,381.00,34.36,2,IN CERAM
INS-IS6080A-S,SET,One Piece Wash Down WC S-TRAP-250MM IS6080A,Plumbing,1,1299.00,1680.00,381.00,29.33,1,IN CERAM
SIN-SOR-SRTKS2431,PCS,Sorento Nanograin Texture Kitchen Sink,Kitchen & Sinks,1,1119.00,1499.00,380.00,33.96,1,SYNTALUN
BATH-SRTBF31416,PCS,Sorento 304 S/s 5 IN 1 Bathroom Furn,Bathroom,1,1109.00,1488.00,379.00,34.17,1,SYNTALUN
X-GAS-STO-RUB-TAE10-M372,UNIT,Rubine Glass Hob RGH-ALLORA2B-BL,Kitchen & Sinks,1,929.00,1299.00,370.00,39.83,1,FIAMMA 5%
SIN-SKS-230-8545L-S600-SIL,PCS,Handmade S/s Dbl Bowl K/sink,Kitchen & Sinks,2,579.00,949.00,370.00,63.90,2,VTC HARDWARE
TOI-TRP-WC-SRTWC8354-SH-UF(250MM),PCS,Sorento Twister Flush Tech,Bathroom,2,839.00,1199.00,360.00,42.91,2,SYNTALUN
TOI-TRP-WC-SRTWC286-SH-S(250MM),PCS,Sorento One Piece Washdown Flush Tech,Bathroom,2,749.00,1099.00,350.00,46.73,2,SYNTALUN
TOI-TRP-WC-SRTWC8504-S,PCS,Sorento Washdown W Rimless Flush Tech,Bathroom,2,749.00,1099.00,350.00,46.73,2,SYNTALUN
BATH-SRTBF31514,PCS,Sorento 5IN1 Bath Furn,Bathroom,1,949.00,1299.00,350.00,36.88,1,SYNTALUN
TANK-REC-450L,DRUM,450L Rectangular Tank (2),Other,1,669.00,329.00,-340.00,-50.82,1,HUA BAN
GAS-STO-RUB-TAE10-E102,UNIT,Rubine Ceramic Hob,Kitchen & Sinks,1,1259.00,1590.00,331.00,26.29,1,FIAMMA 5%
OVEN-RUB-TAE13-M503,UNIT,Rubine M/wave Oven RMO-OREO-28BL,Home Appliances,1,1059.00,1390.00,331.00,31.26,1,
SIN-SOR-SRTKS2408,PCS,Sorento S/s 304 Kitchen Sink Ultrasonic Nano Tech SRTKS2408,Kitchen & Sinks,1,819.00,1149.00,330.00,40.29,1,SYNTALUN
NIP-SAT-GLO-15L-D,DRUM,15L Nippon Satin Glo Deep Base,Paint & Sundries,1,214.00,535.90,321.90,150.42,1,PAINT MAR.2
INS-IS6082-BWL-250,NOS,Close Couple Wash Down WC,Plumbing,1,759.00,1080.00,321.00,42.29,1,IN CERAM
SIN-SKS-7645,PCS,Stainless Steel Single Bowl K/sink,Kitchen & Sinks,1,529.00,849.00,320.00,60.49,1,VTC HARDWARE
SIN-SWP-10549,PCS,Triple Bowl Kitchen Sink,Kitchen & Sinks,1,519.00,839.00,320.00,61.66,1,VTC HARDWARE
BATH-SRTBF31417,PCS,Sorento 6 IN 1 Bathroom Furniture,Bathroom,1,779.00,1088.00,309.00,39.67,1,SYNTALUN
TOI-TRP-WC-SRTWC8518-SH-S,PCS,Sorento One Piece Twister Flushing Tech,Bathroom,2,649.00,949.00,300.00,46.22,2,SYNTALUN
SIN-SKS-230-8545-S600-SIL,PCS,Handmade Nano Silver Double Bowl K/sink,Kitchen & Sinks,2,559.00,859.00,300.00,53.67,2,VTC HARDWARE
SHO-SOR-SRTWT2634-RG,PCS,Sorento Exposed Shower Set (matt Blk+rose Gold),Bathroom,2,799.00,1098.00,299.00,37.42,2,SYNTALUN
BOS-0600-8A7-7L0,UNIT,Aquatak 150 High P/ Cleaner,Chemicals & Adhesives,1,2099.00,2398.00,299.00,14.24,1,CMW ENGINEERING2
SINK-CAB-CKS7548-BL,PCS,Cabana Multifunctional Kitchen Sink,Kitchen & Sinks,1,989.00,1288.00,299.00,30.23,1,SYNTALUN
RUB-TAE11-M330,UNIT,Rubine C/hood,Home Appliances,1,3699.00,3990.00,291.00,7.87,1,FIAMMA 5%
FLO-MOC-AZ617GRY,PCS,Azuba Grey AZ617GRY 600X600MM,Flooring,1,304.00,17.90,-286.10,-94.11,1,ZHEN HUA HUNG
BOS-0600-910-0L0SH,UNIT,Ghp High Pressure Cleaner,Power Tools,1,2149.00,2429.00,280.00,13.03,1,CMW ENGINEERING2
SIN-SOR-SRTKS2429-BL,PCS,Sorento S/steel 304 Kitchen Sink-black,Kitchen & Sinks,4,629.00,899.00,270.00,42.93,4,SYNTALUN
TAP-SIN0-SRTKT71SS-BL,PCS,Sorento Pil Mou Kitchen Mixer Tap W Pull Out Shower (blk),Bathroom,2,269.00,539.00,270.00,100.37,2,SYNTALUN
DC-DCZC04-24EK,SET,Cordless Brushless Rotary Hammer 20V (4.0AH X2/4A),Power Tools,3,779.00,1049.00,270.00,34.66,3,GL BOSUN2
RUB-TAE10-M371,UNIT,Rubine Glass Hob RGH-FIGATA2B-BL,Kitchen & Sinks,1,1129.00,860.00,-269.00,-23.83,4,FIAMMA 5%
RUB-TRT02-SA100,UNIT,Rubine Pillar Sink Tap,Kitchen & Sinks,1,124.00,388.00,264.00,212.90,1,FIAMMA [EX]
KING KONG-HR150-1500L,UNIT,King Kong S/steel Water Tank 1500L,Pumps & Water,1,1399.00,1660.00,261.00,18.66,2,HONESTEEL
BOX-ICE-5LTR-RED/BLUE/GRE,PCS,5LTR Cooler Box,Housewares,1,294.00,33.00,-261.00,-88.78,1,SINHENHUA
BOS-0603-9E0-050,UNIT(S),Ixo 7 Cordless Screwdriver,Power Tools,1,619.00,359.00,-260.00,-42.00,1,CMW ENGINEERING3
INS-IS6035,SET,One Piece Wash Down WC S-TRAP-250MM IS6035,Plumbing,1,1039.00,1290.00,251.00,24.16,1,IN CERAM
DC-DCSM03-100EK,SET,Cordless Brushless Angle Grinder 20V,Power Tools,6,649.00,898.00,249.00,38.37,6,GL BOSUN DIAMOND
BOS-0601-5A2-0L0,UNIT,Gks 235 Turbo Circular Saw,Power Tools,2,729.00,969.00,240.00,32.92,2,CMW ENGINEERING2
SHO-SAN-SWP-BSP-5505B,PCS,Saniware Premier 3WAY Bath Shower Set For Water Heater (black),Bathroom,2,609.00,848.00,239.00,39.24,2,VTC HARDWARE
STA-SHE-SAN-310W-SSS310,UNIT,Stanley 1/2 Sheet Sander 310W,Power Tools,2,234.00,469.00,235.00,100.43,2,HUACHIAN3
DC-J1G-FF02-355,SET,Electric Cut Off Machine,Power Tools,1,324.00,558.00,234.00,72.22,1,GL BOSUN DIAMOND
