item_code,display_name,category,uom,stock_qty,price_myr
JOV-WAT-HEA-SL30IP-BLK-RS,Joven (black) Instant Water Heater SL30IP-RS,Home Appliances,PCS,6,700.00
JOV-WAT-HEA-SL30IP-BLK,Joven (black) Instant Water Heater SL30IP,Home Appliances,PCS,7,559.00
JOV-WAT-HEA-SL30IP-WHI,Joven (white) Instant Water Heater SL30IP,Home Appliances,PCS,5,499.00
JOV-WAT-HEA-SL30IP-WHI-RS,Joven (white) Instant Water Heater SL30IP-RS,Home Appliances,PCS,4,669.00
JOV-WAT-HEA-SA20E,Joven Instant Water Heater,Home Appliances,PCS,18,320.00
SIN-SOR-SRTKS2406,Sorento S/s 304 Kitchen Sink Ultrasonic Nano Tech SRTS2406,Kitchen & Sinks,PCS,2,569.00
JOV-WAT-HEA-SA8E,Joven SA8E Instant Water Heater,Home Appliances,PCS,16,288.00
SIN-SOR-SRTKS2408,Sorento S/s 304 Kitchen Sink Ultrasonic Nano Tech SRTKS2408,Kitchen & Sinks,PCS,1,1149.00
TOI-TRP-WC-2122A-P,Saniware Washdown Two-piece Closet WC-2122A-P180MM,Bathroom,SET,2,469.00
TOI-TRP-WC2110A-P,Saniware Washdown Two-piece Closet WC-2110A-P180MM,Bathroom,SET,2,519.00
JOV-WAT-HEA-SL30E-WHI-RS,Joven (white) Instant Water Heater SL30E-RS,Home Appliances,PCS,9,499.00
SHO-SAN-SWP-BSP-9003G,Saniware Premier 3WAY Bath Expose Shower Set-mixer (gold),Bathroom,PCS,1,1128.00
SHO-SAN-SWP-BSP-9003RG,Saniware Premier 3WAY Bath Expose Shower Set-mixer (rose Gold),Bathroom,PCS,1,1129.00
TAP-SAN-SWP-RG-304-3905,Saniware Premier Kitchen Pillar Sink Tap-rg SWP-RG-304-3905,Kitchen & Sinks,PCS,3,249.00
FAN-CEI-DEKA-CF5DCL46MB12,Deka Ceiling Fan F5 DC~46L Pro Matt Blk,Fans & Ventilation,UNIT,3,238.00
ELE-BUL-E27-3W-RED,Taicon E27 3W LED Color Bulb-red,Lighting,PCS,166,2.50
TAP-SAN-SWP-B-2521,Saniware Premier Basin Pillar Tap-mixer SWP-B-2521,Bathroom,PCS,3,238.00
JOV-WAT-HEA-SB11IP-BLK-RS,Joven (blk) Instant Water Heater,Home Appliances,PCS,5,769.00
RUB-TAE11-M330,Rubine C/hood,Home Appliances,UNIT,1,3990.00
STA-ROT-HAM-SHR263KA,Stanley Rotary Hammer 26MM,Power Tools,UNIT,4,559.00
TAP-SAN-SWP-B-3023,Saniware Premier Basin Pillar Cold Tap (rose Gold) SWP-B-3023,Bathroom,PCS,2,295.00
OVEN-RUB-TAE13-M266,Rubine Built-in Oven RBO-IA8X-70SS,Home Appliances,UNIT,2,2590.00
KHI-COO-RC3636,3.6L Rice Cooker (cool Grey),Home Appliances,SET,2,245.00
SHO-SOR-SRTSA830,Sorento 450MM Shower Arm,Bathroom,PCS,6,89.00
SHO-SOR-SRTSA860-GM,Sorento 400MM Shower Arm,Bathroom,PCS,4,139.00
JOV-WAT-HEA-SB11IP-WHI,Joven (white) Instant Water Heater SB11IP,Home Appliances,PCS,5,579.00
TAP-SAN-SWP-SS-304-3940-RG,Saniware Premier Kitchen Pillar Sink Tap-rg SWP-SS-304-3940-RG,Kitchen & Sinks,PCS,2,288.00
TOI-TRP-WC2300-S,Saniware One Piece Washdown Closet,Bathroom,SET,5,669.00
FAN-STA-KHI-SF1682,Khind 16 Stand Fan,Fans & Ventilation,SET,3,149.00
ELE-BUL-E27-15W-RED,Taicon E27 Stick Bulb Red 15W,Lighting,PCS,28,10.50
TAP-SAN-SWP-B-3213,Saniware Premier Tall Basin Cold Tap,Bathroom,PCS,3,145.00
JOV-WAT-HEA-SL30IP-WHI-AWB,Joven (white) Instant Water Heater SL30IP-AWB,Home Appliances,PCS,5,489.00
TOI-TRP-WC2098RL-S,Saniware Washdown One Piece Closet-rimless,Bathroom,SET,5,599.00
SIN-SOR-SRTKS2429-BL,Sorento S/steel 304 Kitchen Sink-black,Kitchen & Sinks,PCS,4,899.00
TAP-SAN-SWP-B-2934,Saniware Premier Basin Pillar Tap-mixer (gold) SWP-B-2934,Bathroom,PCS,1,485.00
TAP-SAN-SWP-B-2931,Saniware Premier Basin Pillar Tap-mixer (matt Black) SWP-B-2931,Bathroom,PCS,1,468.00
TAP-SAN-SWP-B-2930,Saniware Premier Basin Pillar Tap-mixer SWP-B-2930,Bathroom,PCS,1,438.00
IND-RIC-COO-RC7878,5.6L Rice Cooker (cool Grey),Home Appliances,SET,1,338.00
FAN-STA-KHI-SF1663H,Khind 16 Stand Fan (black),Fans & Ventilation,SET,2,155.00
TAP-SAN-SWP-B-2924,Saniware Premier Basin Pillar Tap-mixer (gold) SWP-B-2924,Bathroom,PCS,1,399.00
TAP-SAN-SWP-B-2921,Saniware Premier Basin Pillar Tap-mixer (matt Black) SWP-B-2921,Bathroom,PCS,1,398.00
CAB-SAN-SWBC-SS6615,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6615,Bathroom,SET,3,749.00
GAS-STO-RUB-TAE10-M523,Rubine Glass Hob RGH-LOTOFLEXI2B-BLFX,Kitchen & Sinks,UNIT,1,1750.00
TAP-SAN-SWP-SS-304-3970-MB,Saniware Premier Flexible Hose Pillar Sink Tap Waterfall (matt Blk),Kitchen & Sinks,PCS,1,338.00
TOI-TRP-WC-8826-S,Sorento Washdown Flushing Tech,Bathroom,SET,3,769.00
CAB-SAN-SWBC-SS6411,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6411,Bathroom,SET,4,499.00
SHO-HAN-SWP-HS-502,Saniware Premier Hand Shower With Flexible Hose SWP-HS-502,Bathroom,SET,4,76.00
FAN-CEI-KHI-WHI-CF618,Khind - 60 Ceiling Fan,Fans & Ventilation,SET,9,189.00
OVEN-RUB-TAE13-M265,Rubine Built-in Oven RBO-IA6X-70SS,Home Appliances,UNIT,1,2290.00
TAP-SAN-SWP-SS-304-3970,Saniware Premier Flexible Hose Pillar Sink Tap Waterfall,Kitchen & Sinks,PCS,1,299.00
TOI-TRP-WC-SRTWC8354-SH-UF(250MM),Sorento Twister Flush Tech,Bathroom,PCS,2,1199.00
SHO-SOR-SRTWT2634-RG,Sorento Exposed Shower Set (matt Blk+rose Gold),Bathroom,PCS,2,1098.00
STA-GRI-SG6100,Stanley Grinder 620W,Power Tools,UNIT,8,129.00
STA-DRI-SCH10D2K,Stanley 12V Tower Up Hammer Drill/driver 2.0AH,Power Tools,UNIT,19,399.00
TOI-TRP-WC-2110A-S,Saniware Eco Seat Cover Top&bottom Washdown Two-piece Closet,Bathroom,SET,4,519.00
TOI-TRP-WC-2122A-S,Saniware Washdown Closet WC-2122A-S250MM,Bathroom,SET,4,469.00
TOI-TRP-WC-SRTWC286-SH-S(250MM),Sorento One Piece Washdown Flush Tech,Bathroom,PCS,2,1099.00
TOI-TRP-WC-SRTWC8504-S,Sorento Washdown W Rimless Flush Tech,Bathroom,PCS,2,1099.00
STA-GRI-SCG400-SOLO,Stanley 20V Grinder,Power Tools,UNIT,3,299.00
SHO-SOR-SRTWT2634,Sorento Exposed Shower Set 3-WAYS SRTWT2634,Bathroom,PCS,1,949.00
STA-ROT-HAM-SHR243KA,Stanley Rotary Hammer 24MM,Power Tools,UNIT,2,439.00
SHO-SOR-SRTSH22614-BL,Sorento 229MM ABS Rain Shower Head (matt Blk),Bathroom,PCS,2,119.00
SIN-SOR-SRTKS6091,Sorento Undermount Kitchen Sink,Kitchen & Sinks,PCS,2,899.00
