item_code,uom,display_name,category,stock_qty,price_myr,reason,excel_uom,excel_price
NIP-WTRB-5L-P,CAN,5L Nippon Weatherbond Quartz Pastel Base,Paint & Sundries,12,244.00,excel_price_zero,CAN,0.00
NIP-VIN-EAS-15L-A,DRUM,15L Nippon Vinilex Easywash Accent Base,Paint & Sundries,8,354.00,excel_price_zero,DRUM,0.00
NIP-WTRB-18L-A,DRUM,18L Nippon Weatherbond Quartz Accent Base,Paint & Sundries,5,539.00,excel_price_zero,DRUM,0.00
NIP-WTRB-18L-T,DRUM,18L Nippon Weatherbond Quartz Tint Base,Paint & Sundries,5,549.00,excel_price_zero,DRUM,0.00
NIP-ROOF-20L-T,UNIT,20L Nippon Roof Coating Tint Base,Building Materials,4,609.00,excel_price_zero,UNIT,0.00
NIP-ECO-T,CAN,1L 811-2336 Medium Yellow T,Paint & Sundries,6,134.00,excel_price_zero,CAN,0.00
NIP-ECO-KX,CAN,1L 811-0018 White Kx,Paint & Sundries,10,76.90,excel_price_zero,CAN,0.00
NIP-QLA-5L-P,CAN,5L Nippon Q-lac Pastel Base,Paint & Sundries,13,169.00,excel_price_zero,CAN,0.00
NIP-WTRB-5L-A,CAN,5L Nippon Weatherbond Quartz Accent Base,Paint & Sundries,10,209.00,excel_price_zero,CAN,0.00
NIP-ECO-A,CAN,1L 811-2573 Or Yel A,Paint & Sundries,6,119.00,excel_price_zero,CAN,0.00
NIP-ECO-V,CAN,1L 811-0422 Magenta V,Paint & Sundries,6,119.00,excel_price_zero,CAN,0.00
NIP-QSH-EXT-20L-D,DRUM,18L Nippon Q-shield Extra Deep Base,Paint & Sundries,4,449.00,excel_price_zero,DRUM,0.00
NIP-QSH-EXT-20L-A,DRUM,18L Nippon Q-shield Extra Accent Base,Paint & Sundries,4,429.00,excel_price_zero,DRUM,0.00
NIP-QLA-5L-A,CAN,5L Nippon Q-lac Accent Base,Paint & Sundries,10,159.00,excel_price_zero,CAN,0.00
NIP-ECO-D,CAN,1L 811-5511 Phthalo Green D,Paint & Sundries,7,78.90,excel_price_zero,CAN,0.00
NIP-QSH-EXT-20L-T,DRUM,18L Nippon Q-shield Extra Tint Base,Paint & Sundries,4,389.00,excel_price_zero,DRUM,0.00
NIP-QGL-15L-T,DRUM,15L Nippon Q-glo Tint Base,Paint & Sundries,4,364.00,excel_price_zero,DRUM,0.00
NIP-WTRB-5L-T,CAN,5L Nippon Weatherbond Quartz Tint Base,Paint & Sundries,6,244.00,excel_price_zero,CAN,0.00
NIP-QSH-EXT-5L-T,CAN,5L Nippon Q-shield Extra Tint Base,Paint & Sundries,7,179.00,excel_price_zero,CAN,0.00
NIP-WTRB-18L-D,DRUM,18L Nippon Weatherbond Quartz Deep Base,Paint & Sundries,2,559.00,excel_price_zero,DRUM,0.00
NIP-ECO-E,CAN,1L 811-7214 Phthalo Blue E,Paint & Sundries,6,62.90,excel_price_zero,CAN,0.00
NIP-QGL-15L-D,DRUM,15L Nippon Q-glo Deep Base,Paint & Sundries,3,359.00,excel_price_zero,DRUM,0.00
NIP-QGL-5L-T,CAN,5L Nippon Q-glo Tint Base,Paint & Sundries,6,164.00,excel_price_zero,CAN,0.00
NIP-ECO-F,CAN,1L 811-1046 Red Oxide F,Paint & Sundries,4,79.90,excel_price_zero,CAN,0.00
NIP-QSH-EXT-5L-D,CAN,5L Nippon Q-shield Extra Deep Base,Paint & Sundries,5,179.00,excel_price_zero,CAN,0.00
NIP-QLA-5L-D,CAN,5L Nippon Q-lac Deep Base,Paint & Sundries,5,174.00,excel_price_zero,CAN,0.00
NIP-QSH-EXT-5L-A,CAN,5L Nippon Q-shield Extra Accent Base,Paint & Sundries,6,144.00,excel_price_zero,CAN,0.00
NIP-SAT-GLO-5L-T,CAN,5L Nippon Satin Glo Tint Base,Paint & Sundries,4,214.00,excel_price_zero,CAN,0.00
NIP-PHG-1L-D,CAN,1L Platone High Gloss Deep Base,Paint & Sundries,21,38.90,excel_price_zero,CAN,0.00
NIP-ECO-HT,CAN,1L 811-0746 Red Ht,Paint & Sundries,1,274.00,excel_price_zero,CAN,0.00
NIP-9000-GF-5L-T,CAN,5L Nippon 9000 Gf Tint Base,Paint & Sundries,3,239.00,excel_price_zero,CAN,0.00
NIP-ECO-C,CAN,1L 811-1810 Yellow Oxide C,Paint & Sundries,4,61.90,excel_price_zero,CAN,0.00
NIP-VIN-EAS-15L-T,DRUM,15L Nippon Vinilex Easywash Tint Base,Paint & Sundries,2,359.00,excel_price_zero,DRUM,0.00
NIP-ODO-5L,TIN,5L Nippon Odourlite Soft Matt - A (5L),Paint & Sundries,2,339.00,excel_price_zero,TIN,0.00
NIP-WTRB-1L-P,CAN,1L Nippon Weatherbond Quartz Pastel Base,Paint & Sundries,10,67.90,excel_price_zero,CAN,0.00
NIP-VIN-EAS-5L-A,CAN,5L Nippon Vinilex Easywash Accent Base,Paint & Sundries,4,164.00,excel_price_zero,CAN,0.00
NIP-SAT-GLO-15L-A,DRUM,15L Nippon Satin Glo Accent Base,Paint & Sundries,2,319.00,excel_price_zero,DRUM,0.00
NIP-9000-GF-1L-D,CAN,1L Nippon 9000 Gf Deep Base,Paint & Sundries,8,63.90,excel_price_zero,CAN,0.00
NIP-ECO-EY,CAN,1L 811-2885 Hs Yellow Ey,Paint & Sundries,1,159.00,excel_price_zero,CAN,0.00
NIP-VIN-EAS-20L-T,DRUM,18L Nippon Vinilex Easywash Tint Base,Paint & Sundries,1,454.00,excel_price_zero,DRUM,0.00
NIP-ROOF-20L-A,UNIT,20L Nippon Roof Coating Accent Base,Building Materials,2,539.00,excel_price_zero,UNIT,0.00
NIP-VIN-EAS-1L-A,CAN,1L Nippon Vinilex Easywash Accent Base,Paint & Sundries,7,51.90,excel_price_zero,CAN,0.00
