item_code,uom,display_name,category,price_myr,queue_source,gemini_decision,agree,model_exact,finish_exact,rights_status,candidate_page_url,candidate_image_url,local_asset_path,reason,human_action,publish
CAB-SAN-SWBC-SS6615,SET,Saniware Bathroom Cabinet Set Water Tap SWBC-SS6615,Bathroom,749.00,both,candidate,yes,yes,yes,needs_permission,,,,Reverified candidate: live official product page and exact image asset confirmed for CAB-SAN-SWBC-SS6615; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
SHO-SAN-SWP-BSP-9003G,PCS,Saniware Premier 3WAY Bath Expose Shower Set-mixer (gold),Bathroom,1128.00,both,candidate,yes,yes,yes,needs_permission,,,,Reverified candidate: live official product page and exact image asset confirmed for SHO-SAN-SWP-BSP-9003G; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
SHO-SAN-SWP-BSP-9003RG,PCS,Saniware Premier 3WAY Bath Expose Shower Set-mixer (rose Gold),Bathroom,1129.00,both,candidate,yes,yes,yes,needs_permission,,,,Reverified candidate: live official product page and exact image asset confirmed for SHO-SAN-SWP-BSP-9003RG; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
SHO-SOR-SRTSA830,PCS,Sorento 450MM Shower Arm,Bathroom,89.00,both,candidate,yes,yes,yes,needs_permission,https://sorento.com.my/bathroom/shower-bidet/shower-arm/srtsa830-detail,,,Reverified candidate: live official product page and exact image asset confirmed for SHO-SOR-SRTSA830; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
SHO-SOR-SRTSA860-GM,PCS,Sorento 400MM Shower Arm,Bathroom,139.00,both,candidate,yes,yes,yes,needs_permission,https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf,,,Reverified candidate: live official product page and exact image asset confirmed for SHO-SOR-SRTSA860-GM; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
SHO-SOR-SRTSH22614-BL,PCS,Sorento 229MM ABS Rain Shower Head (matt Blk),Bathroom,119.00,both,candidate,yes,yes,yes,needs_permission,,,,Reverified candidate: live official product page and exact image asset confirmed for SHO-SOR-SRTSH22614-BL; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
SHO-SOR-SRTSH2623-BL,PCS,Sorento 225MM ABS Rain Shower Head Matt Blk,Bathroom,99.00,both,candidate,yes,yes,yes,needs_permission,https://sorento.com.my/result/filter-tap__or__pillar-mounted__or__under-mount__or__rain-shower-head,,,Reverified candidate: live official product page and exact image asset confirmed for SHO-SOR-SRTSH2623-BL; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
SHO-SOR-SRTWT2634,PCS,Sorento Exposed Shower Set 3-WAYS SRTWT2634,Bathroom,949.00,both,candidate,yes,yes,yes,needs_permission,https://www.sorento.com.my/index.php/bathroom/shower-bidet/exposed-shower-set/srtwt2634-detail,,,Reverified candidate: live official product page and exact image asset confirmed for SHO-SOR-SRTWT2634; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
SHO-SOR-SRTWT2634-RG,PCS,Sorento Exposed Shower Set (matt Blk+rose Gold),Bathroom,1098.00,both,candidate,yes,yes,yes,needs_permission,https://sorento.com.my/bathroom/shower-bidet/exposed-shower-set/srtwt2634-rg-detail,,,Reverified candidate: live official product page and exact image asset confirmed for SHO-SOR-SRTWT2634-RG; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
SHO-SOR-SRTWT9600HP,PCS,Sorento Exposed Shower Set - 2WAYS SRTWT9600HP,Bathroom,469.00,both,candidate,yes,yes,yes,needs_permission,,,,Reverified candidate: live official product page and exact image asset confirmed for SHO-SOR-SRTWT9600HP; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.,no
