item_code,uom,display_name,category,stock_qty,price_myr,priority_score,priority_tier,detected_brand,detected_model,suggested_family_key,family_listing_count,candidate_page_url,candidate_image_url,source_owner,rights_status,match_confidence,review_status,image_url,local_asset_path,checksum,notes
JOV-WAT-HEA-SL30IP-BLK-RS,PCS,Joven (black) Instant Water Heater SL30IP-RS,Home Appliances,6,700.00,96.8,1,Joven,SL30IP-RS,joven:joven-instant-water-heater-sl30ip-rs,2,https://www.joven-electric.com/my/products/instant-water-heater/sl30-series.html,,Joven Marketing Sdn Bhd,pending,C,candidate,,,,Official page confirms SL30iP-RS but black finish and package contents still need visual verification.
JOV-WAT-HEA-SL30IP-BLK,PCS,Joven (black) Instant Water Heater SL30IP,Home Appliances,7,559.00,96.7,1,Joven,SL30IP,joven:joven-instant-water-heater-sl30ip,2,https://www.joven-electric.com/my/products/instant-water-heater/sl30-series.html,,Joven Marketing Sdn Bhd,pending,C,candidate,,,,Official page confirms SL30iP but black finish and package contents still need visual verification.
JOV-WAT-HEA-SL30IP-WHI,PCS,Joven (white) Instant Water Heater SL30IP,Home Appliances,5,499.00,94.8,1,Joven,SL30IP,joven:joven-instant-water-heater-sl30ip,2,https://www.joven-electric.com/my/products/instant-water-heater/sl30-series.html,,Joven Marketing Sdn Bhd,pending,C,candidate,,,,Official page confirms SL30iP but white finish and package contents still need visual verification.
JOV-WAT-HEA-SL30IP-WHI-RS,PCS,Joven (white) Instant Water Heater SL30IP-RS,Home Appliances,4,669.00,94.8,1,Joven,SL30IP-RS,joven:joven-instant-water-heater-sl30ip-rs,2,https://www.joven-electric.com/my/products/instant-water-heater/sl30-series.html,,Joven Marketing Sdn Bhd,pending,C,candidate,,,,Official page confirms SL30iP-RS but white finish and package contents still need visual verification.
JOV-WAT-HEA-SA20E,PCS,Joven Instant Water Heater,Home Appliances,18,320.00,91.1,1,Joven,SA20E,joven:joven-instant-water-heater,1,https://www.joven-electric.com/my/products/instant-water-heater/sa-series.html,,Joven Marketing Sdn Bhd,pending,A,candidate,,,,Official SA Series page lists SA20e; obtain dealer media permission before download.
SIN-SOR-SRTKS2406,PCS,Sorento S/s 304 Kitchen Sink Ultrasonic Nano Tech SRTS2406,Kitchen & Sinks,2,569.00,90.8,1,Sorento,SRTS2406,sorento:sorento-s-s-304-kitchen-sink-ultrasonic-nano,2,https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf,,Sorento,pending,A,candidate,,,,Official Sorento catalogue contains exact model SRTKS2406; commercial image permission still required.
JOV-WAT-HEA-SA8E,PCS,Joven SA8E Instant Water Heater,Home Appliances,16,288.00,90.6,1,Joven,SA8E,joven:joven-sa8e-instant-water-heater,1,https://www.joven-electric.com/my/products/instant-water-heater/sa-series.html,,Joven Marketing Sdn Bhd,pending,A,candidate,,,,Official SA Series page lists SA8e; obtain dealer media permission before download.
SIN-SOR-SRTKS2408,PCS,Sorento S/s 304 Kitchen Sink Ultrasonic Nano Tech SRTKS2408,Kitchen & Sinks,1,1149.00,90.5,1,Sorento,SRTKS2408,sorento:sorento-s-s-304-kitchen-sink-ultrasonic-nano,2,https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf,,Sorento,pending,A,candidate,,,,Official Sorento catalogue contains exact model SRTKS2408; commercial image permission still required.
TOI-TRP-WC-2122A-P,SET,Saniware Washdown Two-piece Closet WC-2122A-P180MM,Bathroom,2,469.00,90.2,1,Saniware,WC-2122A-P180MM,saniware:saniware-washdown-two-piece-closet-wc-p180mm,2,https://saniware.com/product-category/water-closet/page/8/,,Saniware,pending,C,candidate,,,,Official site confirms WC-2122A family but found S-trap variants; P180 configuration still needs exact verification.
TOI-TRP-WC2110A-P,SET,Saniware Washdown Two-piece Closet WC-2110A-P180MM,Bathroom,2,519.00,90.2,1,Saniware,WC-2110A-P180MM,saniware:saniware-washdown-two-piece-closet-wc-p180mm,2,https://saniware.com/product-category/water-closet/page/8/,,Saniware,pending,C,candidate,,,,Official site confirms WC-2110A family but found S-trap variants; P180 configuration still needs exact verification.
