source_position,source_item_code,source_uom,source_product_name,category,detected_brand,detected_model,manufacturer,brand_normalized,exact_model,manufacturer_part_number,model_suffix,model_generation,variant,finish_colour,dimensions,capacity,pack_quantity,key_configuration,source_url,source_type,primary_source_url,primary_source_type,primary_source_tier,secondary_source_url,secondary_source_type,candidate_image_asset_url,candidate_asset_url,candidate_asset_source,image_asset_status,pdf_url,pdf_page,exact_match_reasoning,sibling_variant_elimination,sibling_elimination_reasoning,conflicting_evidence,identity_confidence,image_confidence,classification,hard_failure_reason,recommended_for_visual_review,gemini_visual_review,research_notes,rights_status,rights_note,ambiguities,source_preservation_note,research_notes_file,product_name,variant_suffix,product_identity,source_tier,secondary_sources,image_source_url,image_exactness,sibling_elimination,classification_reason,hard_failure,tls_verification_issue
1001,BOS-2608-578-116,PCS,Masonry Drill Bit 5MM X,Power Tool Accessories,Bosch,50/85MM,Bosch,Bosch,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,No exact authoritative evidence preserved,NOT_PRESERVED,No exact authoritative evidence preserved,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,No exact authoritative identity plus exact image gate preserved.,Sibling/variant image not substituted; unresolved distinctions remain pending.,Sibling/variant image not substituted; unresolved distinctions remain pending.,Exact identity and exact image evidence not preserved; fail-closed.,0,0,PENDING,Exact identity and exact image evidence not preserved; fail-closed.,YES,YES,See the Products 1001–1100 research notes.,needs_permission,"Identity research only. No publication, reuse or distribution rights are claimed or approved.",Exact identity and exact image evidence not preserved; fail-closed.,See the Products 1001–1100 research notes.,/home/ubuntu/work/products_1001_1100_research_notes.md,Masonry Drill Bit 5MM X,50/85MM,NOT_PRESERVED,UNRESOLVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,Sibling/variant image not substituted; unresolved distinctions remain pending.,No exact authoritative identity plus exact image gate preserved.,Exact identity and exact image evidence not preserved; fail-closed.,false
1002,BOS-2608-585-880,SET,Hss-g Cobal Bit 4.0MM,Power Tools,Bosch,NOT_PRESERVED,Bosch,Bosch,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,No exact authoritative evidence preserved,NOT_PRESERVED,No exact authoritative evidence preserved,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,No exact authoritative identity plus exact image gate preserved.,Sibling/variant image not substituted; unresolved distinctions remain pending.,Sibling/variant image not substituted; unresolved distinctions remain pending.,Exact identity and exact image evidence not preserved; fail-closed.,0,0,PENDING,Exact identity and exact image evidence not preserved; fail-closed.,YES,YES,See the Products 1001–1100 research notes.,needs_permission,"Identity research only. No publication, reuse or distribution rights are claimed or approved.",Exact identity and exact image evidence not preserved; fail-closed.,See the Products 1001–1100 research notes.,/home/ubuntu/work/products_1001_1100_research_notes.md,Hss-g Cobal Bit 4.0MM,NOT_PRESERVED,NOT_PRESERVED,UNRESOLVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,Sibling/variant image not substituted; unresolved distinctions remain pending.,No exact authoritative identity plus exact image gate preserved.,Exact identity and exact image evidence not preserved; fail-closed.,false
1003,BOS-2608-608-T66-N,PCK,Velcro Disc 125MM Holes (5PCS/PCK) G100-8,Abrasives & Cutting,Bosch,5PCS/PCK,Bosch,Bosch,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,No exact authoritative evidence preserved,NOT_PRESERVED,No exact authoritative evidence preserved,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,No exact authoritative identity plus exact image gate preserved.,Sibling/variant image not substituted; unresolved distinctions remain pending.,Sibling/variant image not substituted; unresolved distinctions remain pending.,Exact identity and exact image evidence not preserved; fail-closed.,0,0,PENDING,Exact identity and exact image evidence not preserved; fail-closed.,YES,YES,See the Products 1001–1100 research notes.,needs_permission,"Identity research only. No publication, reuse or distribution rights are claimed or approved.",Exact identity and exact image evidence not preserved; fail-closed.,See the Products 1001–1100 research notes.,/home/ubuntu/work/products_1001_1100_research_notes.md,Velcro Disc 125MM Holes (5PCS/PCK) G100-8,5PCS/PCK,NOT_PRESERVED,UNRESOLVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,Sibling/variant image not substituted; unresolved distinctions remain pending.,No exact authoritative identity plus exact image gate preserved.,Exact identity and exact image evidence not preserved; fail-closed.,false
1004,DRI-SDS-GT02-10160,PCS,Glotool Sds Drill 10 X 160MM,Power Tool Accessories,Glotool,GT-A02,Glotool,Glotool,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,No exact authoritative evidence preserved,NOT_PRESERVED,No exact authoritative evidence preserved,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,No exact authoritative identity plus exact image gate preserved.,Sibling/variant image not substituted; unresolved distinctions remain pending.,Sibling/variant image not substituted; unresolved distinctions remain pending.,Exact identity and exact image evidence not preserved; fail-closed.,0,0,PENDING,Exact identity and exact image evidence not preserved; fail-closed.,YES,YES,See the Products 1001–1100 research notes.,needs_permission,"Identity research only. No publication, reuse or distribution rights are claimed or approved.",Exact identity and exact image evidence not preserved; fail-closed.,See the Products 1001–1100 research notes.,/home/ubuntu/work/products_1001_1100_research_notes.md,Glotool Sds Drill 10 X 160MM,GT-A02,NOT_PRESERVED,UNRESOLVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,Sibling/variant image not substituted; unresolved distinctions remain pending.,No exact authoritative identity plus exact image gate preserved.,Exact identity and exact image evidence not preserved; fail-closed.,false
1005,NIE-SOC-IMP-DEE-1/2-27MM,PCS,Nietz Deep Impact Socket (6PT) 50142027 27MM,Power Tools,Nietz,6PT,Nietz,Nietz,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,No exact authoritative evidence preserved,NOT_PRESERVED,No exact authoritative evidence preserved,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,No exact authoritative identity plus exact image gate preserved.,Sibling/variant image not substituted; unresolved distinctions remain pending.,Sibling/variant image not substituted; unresolved distinctions remain pending.,Exact identity and exact image evidence not preserved; fail-closed.,0,0,PENDING,Exact identity and exact image evidence not preserved; fail-closed.,YES,YES,See the Products 1001–1100 research notes.,needs_permission,"Identity research only. No publication, reuse or distribution rights are claimed or approved.",Exact identity and exact image evidence not preserved; fail-closed.,See the Products 1001–1100 research notes.,/home/ubuntu/work/products_1001_1100_research_notes.md,Nietz Deep Impact Socket (6PT) 50142027 27MM,6PT,NOT_PRESERVED,UNRESOLVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,Sibling/variant image not substituted; unresolved distinctions remain pending.,No exact authoritative identity plus exact image gate preserved.,Exact identity and exact image evidence not preserved; fail-closed.,false
1006,TAP-SIN-SRTKT69SS-GM,PCS,Sorento Pillar Mounted Kitchen Tap (gunmetal),Plumbing,Sorento,SRTKT69SS-GM,Sorento,Sorento,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,No exact authoritative evidence preserved,NOT_PRESERVED,No exact authoritative evidence preserved,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,No exact authoritative identity plus exact image gate preserved.,Sibling/variant image not substituted; unresolved distinctions remain pending.,Sibling/variant image not substituted; unresolved distinctions remain pending.,Exact identity and exact image evidence not preserved; fail-closed.,0,0,PENDING,Exact identity and exact image evidence not preserved; fail-closed.,YES,YES,See the Products 1001–1100 research notes.,needs_permission,"Identity research only. No publication, reuse or distribution rights are claimed or approved.",Exact identity and exact image evidence not preserved; fail-closed.,See the Products 1001–1100 research notes.,/home/ubuntu/work/products_1001_1100_research_notes.md,Sorento Pillar Mounted Kitchen Tap (gunmetal),SRTKT69SS-GM,NOT_PRESERVED,UNRESOLVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,Sibling/variant image not substituted; unresolved distinctions remain pending.,No exact authoritative identity plus exact image gate preserved.,Exact identity and exact image evidence not preserved; fail-closed.,false
1007,TOO-SOC-SET-8-32,SET,Glotool Socket Set,Hand Tools,Glotool,8MM-32MM,Glotool,Glotool,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,No exact authoritative evidence preserved,NOT_PRESERVED,No exact authoritative evidence preserved,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,No exact authoritative identity plus exact image gate preserved.,Sibling/variant image not substituted; unresolved distinctions remain pending.,Sibling/variant image not substituted; unresolved distinctions remain pending.,Exact identity and exact image evidence not preserved; fail-closed.,0,0,PENDING,Exact identity and exact image evidence not preserved; fail-closed.,YES,YES,See the Products 1001–1100 research notes.,needs_permission,"Identity research only. No publication, reuse or distribution rights are claimed or approved.",Exact identity and exact image evidence not preserved; fail-closed.,See the Products 1001–1100 research notes.,/home/ubuntu/work/products_1001_1100_research_notes.md,Glotool Socket Set,8MM-32MM,NOT_PRESERVED,UNRESOLVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,Sibling/variant image not substituted; unresolved distinctions remain pending.,No exact authoritative identity plus exact image gate preserved.,Exact identity and exact image evidence not preserved; fail-closed.,false
1008,BOS-0600-8C1-H70,UNIT,Easy Grasscut 23 Grass Trimmer,Power Tools,Bosch,NOT_PRESERVED,Bosch,Bosch,EasyGrassCut 23,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,https://www.bosch-diy.com/my/en/p/easygrasscut-23-06008c1h71,Official Bosch DIY Malaysia identity page; authorized-seller conflicting code/image,https://www.bosch-diy.com/my/en/p/easygrasscut-23-06008c1h71,Official Bosch DIY Malaysia identity page; authorized-seller conflicting code/image,2,Bosch DIY Malaysia; BoschHardware authorized seller,Independent corroboration / manufacturer service / authorized seller,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,FAMILY_ONLY_NOT_EXACT,NOT_PRESERVED,NOT_PRESERVED,"Exact family/model is supported, but source H70 conflicts with official Bosch H71 and authorized-seller code; fail closed.",Sibling/variant image not substituted; unresolved distinctions remain pending.,Sibling/variant image not substituted; unresolved distinctions remain pending.,H70 versus H71; possible regional or catalogue code difference.,90,80,PENDING,H70/H71 order-number conflict unresolved.,YES,YES,See the Products 1001–1100 research notes.,needs_permission,"Identity research only. No publication, reuse or distribution rights are claimed or approved.",H70 versus H71; possible regional or catalogue code difference.,See the Products 1001–1100 research notes.,/home/ubuntu/work/products_1001_1100_research_notes.md,Easy Grasscut 23 Grass Trimmer,NOT_PRESERVED,EasyGrassCut 23,TIER_1 + TIER_2,Bosch DIY Malaysia; BoschHardware authorized seller,https://wwarehouse.s3-ap-southeast-1.amazonaws.com/bosch-grass-trimmer-easygrasscut-23-bh-1.png,EXACT_MODEL_BUT_CODE_CONFLICT,Sibling/variant image not substituted; unresolved distinctions remain pending.,"Exact family/model is supported, but source H70 conflicts with official Bosch H71 and authorized-seller code; fail closed.",H70/H71 order-number conflict unresolved.,false
1009,BOS-2608-578-115,PCS,Masonry Drill Bit 4MM X,Power Tool Accessories,Bosch,40/75MM,Bosch,Bosch,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,No exact authoritative evidence preserved,NOT_PRESERVED,No exact authoritative evidence preserved,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,No exact authoritative identity plus exact image gate preserved.,Sibling/variant image not substituted; unresolved distinctions remain pending.,Sibling/variant image not substituted; unresolved distinctions remain pending.,Exact identity and exact image evidence not preserved; fail-closed.,0,0,PENDING,Exact identity and exact image evidence not preserved; fail-closed.,YES,YES,See the Products 1001–1100 research notes.,needs_permission,"Identity research only. No publication, reuse or distribution rights are claimed or approved.",Exact identity and exact image evidence not preserved; fail-closed.,See the Products 1001–1100 research notes.,/home/ubuntu/work/products_1001_1100_research_notes.md,Masonry Drill Bit 4MM X,40/75MM,NOT_PRESERVED,UNRESOLVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,Sibling/variant image not substituted; unresolved distinctions remain pending.,No exact authoritative identity plus exact image gate preserved.,Exact identity and exact image evidence not preserved; fail-closed.,false
1010,BOS-2608-608-T68-N,PCK,Velcro Disc 125MM Holes (5PCS/PCK) G150-8,Abrasives & Cutting,Bosch,5PCS/PCK,Bosch,Bosch,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,No exact authoritative evidence preserved,NOT_PRESERVED,No exact authoritative evidence preserved,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,No exact authoritative identity plus exact image gate preserved.,Sibling/variant image not substituted; unresolved distinctions remain pending.,Sibling/variant image not substituted; unresolved distinctions remain pending.,Exact identity and exact image evidence not preserved; fail-closed.,0,0,PENDING,Exact identity and exact image evidence not preserved; fail-closed.,YES,YES,See the Products 1001–1100 research notes.,needs_permission,"Identity research only. No publication, reuse or distribution rights are claimed or approved.",Exact identity and exact image evidence not preserved; fail-closed.,See the Products 1001–1100 research notes.,/home/ubuntu/work/products_1001_1100_research_notes.md,Velcro Disc 125MM Holes (5PCS/PCK) G150-8,5PCS/PCK,NOT_PRESERVED,UNRESOLVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,Sibling/variant image not substituted; unresolved distinctions remain pending.,No exact authoritative identity plus exact image gate preserved.,Exact identity and exact image evidence not preserved; fail-closed.,false
