source_position,source_item_code,source_uom,source_product_name,category,detected_brand,detected_model,manufacturer,brand_normalized,exact_model,manufacturer_part_number,model_suffix,model_generation,variant,finish_colour,dimensions,capacity,pack_quantity,key_configuration,source_url,source_type,primary_source_url,primary_source_type,primary_source_tier,secondary_source_url,secondary_source_type,candidate_image_asset_url,candidate_asset_url,candidate_asset_source,image_asset_status,pdf_url,pdf_page,exact_match_reasoning,sibling_variant_elimination,sibling_elimination_reasoning,conflicting_evidence,identity_confidence,image_confidence,classification,hard_failure_reason,recommended_for_visual_review,gemini_visual_review,research_notes,rights_status,rights_note,ambiguities,source_preservation_note,research_notes_file
101,SIN-SOR-SRTKS2427-BL,PCS,Sorento S/s 304 Kitchen Sink-blk Ultrasonic Nano Tech,Kitchen & Sinks,Sorento,SRTKS2427-BL,Sorento,Sorento,SRTKS2427-BL,SRTKS2427-BL,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf | https://sorento.com.my/result/basin-mixer-tap__or__bib-tap__or__ceramic-sink__or__children-water-closets__or__counter-top-basin-ultra-thin-edge__or__flexible-hose__or__floor-standing-water-closet__or__shower-union__or__under-mount__or__valve?start=24,Official manufacturer catalogue + official result page,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf,Official manufacturer catalogue + official result page,1A,https://sorento.com.my/result/basin-mixer-tap__or__bib-tap__or__ceramic-sink__or__children-water-closets__or__counter-top-basin-ultra-thin-edge__or__flexible-hose__or__floor-standing-water-closet__or__shower-union__or__under-mount__or__valve?start=24,Supporting source,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf,NOT_PRESERVED,Source row 101 was researched against the available manufacturer/distributor hierarchy. Exact model recorded as SRTKS2427-BL when preserved; otherwise the row remains fail-closed.,"Sibling variants were not substituted. Where the source was incomplete, the unresolved suffix, colour, size, pack, electrical or LED distinction is recorded below.","Sibling variants were not substituted. Where the source was incomplete, the unresolved suffix, colour, size, pack, electrical or LED distinction is recorded below.",Catalogue page number and exact black-finish image crop not yet preserved.,HIGH,NONE,PENDING,Catalogue page number and exact black-finish image crop not yet preserved.,YES,YES,Official Sorento PDF and rendered result were found; PDF page mapping and image asset preservation remain incomplete.,needs_permission,"Identity research only. No publication, reuse, or distribution rights are claimed or approved.",Catalogue page number and exact black-finish image crop not yet preserved.,Official Sorento PDF and rendered result were found; PDF page mapping and image asset preservation remain incomplete.,/home/ubuntu/work/products_101_200_research_notes.md
102,BAS-SOR-SRTWB7132,PCS,Sorento Counter Top Basin,Bathroom,Sorento,SRTWB7132,Sorento,Sorento,SRTWB7132,SRTWB7132,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf | https://sorento.com.my/result/basin-mixer-tap__or__bib-tap__or__ceramic-sink__or__children-water-closets__or__counter-top-basin-ultra-thin-edge__or__flexible-hose__or__floor-standing-water-closet__or__shower-union__or__under-mount__or__valve?start=24,Official manufacturer catalogue + official result page,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf,Official manufacturer catalogue + official result page,1A,https://sorento.com.my/result/basin-mixer-tap__or__bib-tap__or__ceramic-sink__or__children-water-closets__or__counter-top-basin-ultra-thin-edge__or__flexible-hose__or__floor-standing-water-closet__or__shower-union__or__under-mount__or__valve?start=24,Supporting source,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf,NOT_PRESERVED,Source row 102 was researched against the available manufacturer/distributor hierarchy. Exact model recorded as SRTWB7132 when preserved; otherwise the row remains fail-closed.,"Sibling variants were not substituted. Where the source was incomplete, the unresolved suffix, colour, size, pack, electrical or LED distinction is recorded below.","Sibling variants were not substituted. Where the source was incomplete, the unresolved suffix, colour, size, pack, electrical or LED distinction is recorded below.","Catalogue dimension text is L400xW400xH140mm, but PDF page and exact image crop are not yet preserved.",HIGH,NONE,PENDING,"Catalogue dimension text is L400xW400xH140mm, but PDF page and exact image crop are not yet preserved.",YES,YES,Official Sorento PDF and rendered result were found; PDF page mapping and image asset preservation remain incomplete.,needs_permission,"Identity research only. No publication, reuse, or distribution rights are claimed or approved.","Catalogue dimension text is L400xW400xH140mm, but PDF page and exact image crop are not yet preserved.",Official Sorento PDF and rendered result were found; PDF page mapping and image asset preservation remain incomplete.,/home/ubuntu/work/products_101_200_research_notes.md
103,ELE-D/L-MEG-YTPDGLE5-70W,PCS,Megaman E27 Led-t Bulb,Lighting,Megaman,E27,Megaman,Megaman,YTPDGLE5-70W,YTPDGLE5-70W,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,https://megaman.com.my/product/high-lumen-t-bulb/,Official manufacturer product page,https://megaman.com.my/product/high-lumen-t-bulb/,Official manufacturer product page,1A,NOT_PRESERVED,NOT_PRESERVED,https://megaman.com.my/wp-content/uploads/2020/12/1-2.jpg | https://megaman.com.my/wp-content/uploads/2020/12/Untitled-7-2.jpg | https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8-4.jpg | https://megaman.com.my/wp-content/uploads/2020/12/Untitled-9-2.jpg,https://megaman.com.my/wp-content/uploads/2020/12/1-2.jpg | https://megaman.com.my/wp-content/uploads/2020/12/Untitled-7-2.jpg | https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8-4.jpg | https://megaman.com.my/wp-content/uploads/2020/12/Untitled-9-2.jpg,https://megaman.com.my/product/high-lumen-t-bulb/,DIRECT_IMAGE_URL_PRESERVED_BUT_VARIANT_UNRESOLVED,NOT_PRESERVED,NOT_PRESERVED,Source row 103 was researched against the available manufacturer/distributor hierarchy. Exact model recorded as YTPDGLE5-70W when preserved; otherwise the row remains fail-closed.,"Sibling variants were not substituted. Where the source was incomplete, the unresolved suffix, colour, size, pack, electrical or LED distinction is recorded below.","Sibling variants were not substituted. Where the source was incomplete, the unresolved suffix, colour, size, pack, electrical or LED distinction is recorded below.",Official 70W row prints PLC under Cap while source display/family says E27; exact cap configuration is unresolved.,HIGH_WITH_CAP_CONFLICT,MEDIUM,PENDING,Official 70W row prints PLC under Cap while source display/family says E27; exact cap configuration is unresolved.,YES,YES,Official page and image URLs preserved; do not use until E27 versus PLC is reconciled.,needs_permission,"Identity research only. No publication, reuse, or distribution rights are claimed or approved.",Official 70W row prints PLC under Cap while source display/family says E27; exact cap configuration is unresolved.,Official page and image URLs preserved; do not use until E27 versus PLC is reconciled.,/home/ubuntu/work/products_101_200_research_notes.md
104,X-ELE-LED-FFL-CHA-10W,PCS,Taicon Stick LED Mini 5W E27 - Red,Lighting,Taicon,E27,Taicon,Taicon,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,Discovery only / no exact authoritative page preserved,NOT_PRESERVED,Discovery only / no exact authoritative page preserved,3,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,Source row 104 was researched against the available manufacturer/distributor hierarchy. Exact model recorded as NOT_PRESERVED when preserved; otherwise the row remains fail-closed.,"Sibling variants were not substituted. Where the source was incomplete, the unresolved suffix, colour, size, pack, electrical or LED distinction is recorded below.","Sibling variants were not substituted. Where the source was incomplete, the unresolved suffix, colour, size, pack, electrical or LED distinction is recorded below.","Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",LOW,NONE,PENDING,"Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",YES,YES,Search trail is in the shard research notes; no exact source could be preserved.,needs_permission,"Identity research only. No publication, reuse, or distribution rights are claimed or approved.","Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",Search trail is in the shard research notes; no exact source could be preserved.,/home/ubuntu/work/products_101_200_research_notes.md
105,ELE-BUL-E27-3W-BLUE,PCS,Taicon E27 3W LED Color Bulb-blue,Lighting,Taicon,E27,Taicon,Taicon,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,Discovery only / no exact authoritative page preserved,NOT_PRESERVED,Discovery only / no exact authoritative page preserved,3,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,Source row 105 was researched against the available manufacturer/distributor hierarchy. Exact model recorded as NOT_PRESERVED when preserved; otherwise the row remains fail-closed.,"Sibling variants were not substituted. Where the source was incomplete, the unresolved suffix, colour, size, pack, electrical or LED distinction is recorded below.","Sibling variants were not substituted. Where the source was incomplete, the unresolved suffix, colour, size, pack, electrical or LED distinction is recorded below.","Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",LOW,NONE,PENDING,"Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",YES,YES,Search trail is in the shard research notes; no exact source could be preserved.,needs_permission,"Identity research only. No publication, reuse, or distribution rights are claimed or approved.","Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",Search trail is in the shard research notes; no exact source could be preserved.,/home/ubuntu/work/products_101_200_research_notes.md
106,ELE-HOL-TC818-E27,PCS,Taicon Tc 818 E27 Lamp Holder,Lighting,Taicon,E27,Taicon,Taicon,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,Discovery only / no exact authoritative page preserved,NOT_PRESERVED,Discovery only / no exact authoritative page preserved,3,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,Source row 106 was researched against the available manufacturer/distributor hierarchy. Exact model recorded as NOT_PRESERVED when preserved; otherwise the row remains fail-closed.,"Sibling variants were not substituted. Where the source was incomplete, the unresolved suffix, colour, size, pack, electrical or LED distinction is recorded below.","Sibling variants were not substituted. Where the source was incomplete, the unresolved suffix, colour, size, pack, electrical or LED distinction is recorded below.","Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",LOW,NONE,PENDING,"Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",YES,YES,Search trail is in the shard research notes; no exact source could be preserved.,needs_permission,"Identity research only. No publication, reuse, or distribution rights are claimed or approved.","Exact manufacturer model/variant, technical specifications and image not preserved; no substitute brand asset allowed.",Search trail is in the shard research notes; no exact source could be preserved.,/home/ubuntu/work/products_101_200_research_notes.md
107,FAN-WAL-KHI-FW1660TH,SET,16 Wall Fan,Fans & Ventilation,Khind,WF1602SE-KHIND,Khind,Khind,WF1602SE,WF1602SE,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,https://khind.com.my/products/khind-16-wall-fan-wf1602se,Official manufacturer product page,https://khind.com.my/products/khind-16-wall-fan-wf1602se,Official manufacturer product page,1A,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,Source row 107 was researched against the available manufacturer/distributor hierarchy. Exact model recorded as WF1602SE when preserved; otherwise the row remains fail-closed.,"Sibling variants were not substituted. Where the source was incomplete, the unresolved suffix, colour, size, pack, electrical or LED distinction is recorded below.","Sibling variants were not substituted. Where the source was incomplete, the unresolved suffix, colour, size, pack, electrical or LED distinction is recorded below.",Source internal code FW1660TH and source finish do not exactly map to official WF1602SE Winter Grey.,HIGH_WITH_INTERNAL_CODE_GAP,NONE,PENDING,Source internal code FW1660TH and source finish do not exactly map to official WF1602SE Winter Grey.,YES,YES,Official model/specification page preserved; image and internal-code mapping remain unresolved.,needs_permission,"Identity research only. No publication, reuse, or distribution rights are claimed or approved.",Source internal code FW1660TH and source finish do not exactly map to official WF1602SE Winter Grey.,Official model/specification page preserved; image and internal-code mapping remain unresolved.,/home/ubuntu/work/products_101_200_research_notes.md
108,KHI-POT-AP550,SET,Khind Thermos Pot 5.5L,Home Appliances,Khind,AP550,Khind,Khind,AP550,AP550,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,https://khind.com.my/collections/user-manuals?page=4 | https://cdn.shopify.com/s/files/1/0921/1566/5177/files/khindthermopotap550-im_191021163349.pdf,Official manufacturer manual collection + manual PDF,https://khind.com.my/collections/user-manuals?page=4,Official manufacturer manual collection + manual PDF,1A,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/khindthermopotap550-im_191021163349.pdf,Supporting source,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,Source row 108 was researched against the available manufacturer/distributor hierarchy. Exact model recorded as AP550 when preserved; otherwise the row remains fail-closed.,"Sibling variants were not substituted. Where the source was incomplete, the unresolved suffix, colour, size, pack, electrical or LED distinction is recorded below.","Sibling variants were not substituted. Where the source was incomplete, the unresolved suffix, colour, size, pack, electrical or LED distinction is recorded below.",Exact product image and complete product page not preserved.,HIGH,NONE,PENDING,Exact product image and complete product page not preserved.,YES,YES,Official manual evidence preserved; no exact image asset.,needs_permission,"Identity research only. No publication, reuse, or distribution rights are claimed or approved.",Exact product image and complete product page not preserved.,Official manual evidence preserved; no exact image asset.,/home/ubuntu/work/products_101_200_research_notes.md
109,RAINBOW-G888-250GM,BTL,Nippon Gold Paint 999 Gold,Paint & Sundries,Nippon Paint,250GM,Nippon Paint,Nippon Paint,Nippon Paint 999 Gold 250g,999 Gold / 250g,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,Discovery only / no exact authoritative page preserved,NOT_PRESERVED,Discovery only / no exact authoritative page preserved,3,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,Source row 109 was researched against the available manufacturer/distributor hierarchy. Exact model recorded as Nippon Paint 999 Gold 250g when preserved; otherwise the row remains fail-closed.,"Sibling variants were not substituted. Where the source was incomplete, the unresolved suffix, colour, size, pack, electrical or LED distinction is recorded below.","Sibling variants were not substituted. Where the source was incomplete, the unresolved suffix, colour, size, pack, electrical or LED distinction is recorded below.","Exact product family, finish and official 250g packaging not preserved.",LOW_MEDIUM,NONE,PENDING,"Exact product family, finish and official 250g packaging not preserved.",YES,YES,No exact Nippon page or asset preserved.,needs_permission,"Identity research only. No publication, reuse, or distribution rights are claimed or approved.","Exact product family, finish and official 250g packaging not preserved.",No exact Nippon page or asset preserved.,/home/ubuntu/work/products_101_200_research_notes.md
110,TAP-SAN-SWP-B-3203-RG,PCS,Saniware Premier Basin Pillar Cold Tap (rose Gold) SWP-SS-304-3203-RG,Bathroom,Saniware,SWP-SS-304-3203-RG,Saniware,Saniware,SWP-SS-304-3203-RG,SWP-SS-304-3203-RG,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,https://saniware.com/product/premier-basin-pillar-cold-tap-swp-ss-304-3203-rg/,Official manufacturer product page,https://saniware.com/product/premier-basin-pillar-cold-tap-swp-ss-304-3203-rg/,Official manufacturer product page,1A,NOT_PRESERVED,NOT_PRESERVED,https://saniware.com/wp-content/uploads/2025/05/SWP-SS-304-3203-RG.jpg,https://saniware.com/wp-content/uploads/2025/05/SWP-SS-304-3203-RG.jpg,https://saniware.com/product/premier-basin-pillar-cold-tap-swp-ss-304-3203-rg/,EXACT_IMAGE_URL_PRESERVED,NOT_PRESERVED,NOT_PRESERVED,"Exact source SKU, finish and official Saniware page match; direct official image URL preserved.","Sibling variants were not substituted. Where the source was incomplete, the unresolved suffix, colour, size, pack, electrical or LED distinction is recorded below.","Sibling variants were not substituted. Where the source was incomplete, the unresolved suffix, colour, size, pack, electrical or LED distinction is recorded below.",Publication/licensing rights not established.,HIGH,HIGH,VERIFIED_CANDIDATE,NOT_PRESERVED,OPTIONAL,OPTIONAL,"Exact official page, SKU, finish, packaging and direct image URL preserved.",needs_permission,"Identity research only. No publication, reuse, or distribution rights are claimed or approved.",Publication/licensing rights not established.,"Exact official page, SKU, finish, packaging and direct image URL preserved.",/home/ubuntu/work/products_101_200_research_notes.md
