source_position,source_item_code,source_uom,source_product_name,category,detected_brand,detected_model,manufacturer,exact_model,manufacturer_part_number,source_url,source_type,candidate_image_asset_url,image_asset_status,exact_match_reasoning,sibling_variant_elimination,identity_confidence,image_confidence,classification,rights_status,rights_note,ambiguities,gemini_visual_review,source_preservation_note,research_notes_file
51,TOI-TRP-WC-SRTWC8354-SH-UF(250MM),PCS,Sorento Twister Flush Tech,Bathroom,Sorento,SRTWC8354-SH-UF,Sorento,SRTWC8354-SH,SRTWC8354-SH,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=7,official manufacturer catalogue/PDF,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=7,catalogue page crop not individually preserved,"Official Nov-2024 catalogue p.7 names SRTWC8354-SH, Twister Flushing Technology, L700xW370xH800mm, S-trap 150/200/250mm and P-trap 180mm.","Same page siblings SRTWC286-SH and SRTWC8066-S; source specifies UF seat-cover suffix, but catalogue text says PP Seat Cover and does not print UF.",MEDIUM,MEDIUM,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Source SRTWC8354-SH-UF(250MM) vs catalogue SRTWC8354-SH with PP seat cover; UF suffix unresolved.,NO,PDF URL/page and sibling text preserved; exact UF image/seat-cover variant not proven.,products_51_100_sorento_notes.md
52,SHO-SOR-SRTWT2634-RG,PCS,Sorento Exposed Shower Set (matt Blk+rose Gold),Bathroom,Sorento,SRTWT2634-RG,Sorento,SRTWT2634-RG,SRTWT2634-RG,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=63,official manufacturer catalogue/PDF,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=63,catalogue page crop required for asset harvest,"Official catalogue p.63 names SRTWT2634-RG as a 3-Ways Exposed Shower Set c/w Spout, ABS rain shower head 188x288mm, 3-functions self-clean silicone-nozzle ABS hand shower, solid-brass body, Rose Gold + Matt Black.","Same page siblings SRTWT9606-BL, SRTWT9834-RG, SRTWT9606-GM, and SRTWT5936-GM; finish and model text isolate RG variant.",HIGH,MEDIUM,VERIFIED_CANDIDATE,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",,YES,Exact PDF URL/page/crop and siblings recorded; downstream crop extraction and visual check still required.,products_51_100_sorento_notes.md
53,STA-GRI-SG6100,UNIT,Stanley Grinder 620W,Power Tools,Stanley,SG6100,Stanley,SG6100,SG6100,https://www.lkkhardware.com/showproducts/productid/5449423/620w-stanley-angle-grinder-sg6100xd/,dealer/discovery; suffix mismatch,NOT_PRESERVED,not preserved,"Search discovery identifies Stanley SG6100-XD 620W angle grinder, but the source row is SG6100 and no exact manufacturer/authorized package page was preserved.",SG6100-XD is not accepted as exact SG6100 without confirmation of the XD suffix and package/region.,MEDIUM,NONE,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",SG6100 vs SG6100-XD; exact image and package not preserved.,NO,Dealer/discovery URL only; no exact image preserved.,products_51_100_stanley_notes.md
54,STA-DRI-SCH10D2K,UNIT,Stanley 12V Tower Up Hammer Drill/driver 2.0AH,Power Tools,Stanley,SCH10D2K,Stanley,SCH10D2K-B1,SCH10D2K-B1,https://theleedenstore.com.my/product/stanley-sch10d2k-b1-12v-brushed-cordless-hammer-drill-with-2-0ah-battery-1-5a-charger/,authorized Malaysian dealer,https://theleedenstore.com.my/wp-content/uploads/2024/02/STENLEY-CORDLESS-SERIES_STANLEY-SCH10D2K-B1-12V-BRUSHED-CORDLESS-HAMMER-DRILL-WITH-2.0AH-BATTERY-1.5A-CHARGER.jpg,exact dealer asset; not rights-cleared,"Dealer page exactly identifies SCH10D2K-B1, 12V, 2.0Ah battery, 1.5A charger, 30Nm, 20 torque settings, 10mm chuck, and tower-up hammer drill configuration.",Source row says SCH10D2K without -B1; B1 package suffix is a material regional/package distinction and is not treated as exact.,HIGH,HIGH,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",SCH10D2K vs SCH10D2K-B1 package suffix.,YES,"Exact dealer page/image preserved, but official manufacturer confirmation and publication rights are absent.",products_51_100_stanley_notes.md
55,TOI-TRP-WC-2110A-S,SET,Saniware Eco Seat Cover Top&bottom Washdown Two-piece Closet,Bathroom,Saniware,WC-2110A-S250MM,Saniware,WC-2110A-S200,WC-2110A-S200,https://saniware.com/product/wc-2110a-s200/,official manufacturer sibling page,NOT_PRESERVED,not preserved,"Official Saniware sibling page is WC-2110A-S200; source requires WC-2110A-S250MM, so exact trap-size variant is not proven.",S200 sibling cannot substitute for source S250MM; exact 250MM image/page was not preserved.,MEDIUM,NONE,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",S200 vs S250MM trap size.,NO,Official sibling page preserved; exact source variant remains unavailable.,products_51_100_saniware_notes.md
56,TOI-TRP-WC-2122A-S,SET,Saniware Washdown Closet WC-2122A-S250MM,Bathroom,Saniware,WC-2122A-S250MM,Saniware,WC-2122A-S300,WC-2122A-S300,https://saniware.com/product/wc-2122a-s300/,official manufacturer sibling page,NOT_PRESERVED,not preserved,"Official Saniware sibling page is WC-2122A-S300; source requires WC-2122A-S250MM, so exact trap-size variant is not proven.",S300 sibling cannot substitute for source S250MM; exact 250MM image/page was not preserved.,MEDIUM,NONE,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",S300 vs S250MM trap size.,NO,Official sibling page preserved; exact source variant remains unavailable.,products_51_100_saniware_notes.md
57,TOI-TRP-WC-SRTWC286-SH-S(250MM),PCS,Sorento One Piece Washdown Flush Tech,Bathroom,Sorento,SRTWC286-SH-S,Sorento,SRTWC286-SH,SRTWC286-SH,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=7,official manufacturer catalogue/PDF,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=7,catalogue page crop required for asset harvest,"Official catalogue p.7 names SRTWC286-SH, Twister Flushing Technology, L680xW365xH735mm, S-trap 150/200/250mm and P-trap 180mm; source specifies 250mm.","Same page siblings SRTWC8354-SH and SRTWC8066-S; exact 250mm trap option and SH model match source, while sibling dimensions differ.",HIGH,MEDIUM,VERIFIED_CANDIDATE,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",,YES,Exact PDF URL/page/crop and siblings recorded; crop extraction and visual review required.,products_51_100_sorento_notes.md
58,TOI-TRP-WC-SRTWC8504-S,PCS,Sorento Washdown W Rimless Flush Tech,Bathroom,Sorento,SRTWC8504-S,Sorento,SRTWC8504-RL,SRTWC8504-RL,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=9,official manufacturer catalogue/PDF,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=9,catalogue page crop not exact source suffix,"Official catalogue p.9 names SRTWC8504-RL, Washdown Flushing Technology, L700xW400xH760mm, S-trap 200/250mm, P-trap 180mm, PP seat cover.","Source code is SRTWC8504-S, while catalogue exact text is RL; source S suffix is not accepted as RL.",MEDIUM,MEDIUM,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",Source -S vs official catalogue -RL; exact suffix mapping unresolved.,NO,"Official PDF page preserved, but source suffix mismatch blocks exact classification.",products_51_100_sorento_notes.md
59,STA-GRI-SCG400-SOLO,UNIT,Stanley 20V Grinder,Power Tools,Stanley,SCG400,Stanley,SCG400,SCG400,NOT_PRESERVED,discovery only,NOT_PRESERVED,not preserved,"Discovery identifies Stanley SCG400 20V cordless grinder family, but no exact manufacturer/authorized product page, kit suffix, or image was preserved.",SCG400-SOLO source requires Solo package; generic SCG400 evidence cannot establish exact kit contents.,MEDIUM,NONE,PENDING,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",SCG400 vs SCG400-SOLO exact package.,NO,Discovery only; no exact asset preserved.,products_51_100_stanley_notes.md
60,SHO-SOR-SRTWT2634,PCS,Sorento Exposed Shower Set 3-WAYS SRTWT2634,Bathroom,Sorento,3-WAYS,Sorento,SRTWT2634,SRTWT2634,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=62,official manufacturer catalogue/PDF,https://www.sorento.com.my/media/attachments/2024/11/11/sorento-catalog-2024.pdf#page=62,catalogue page crop required for asset harvest,"Official catalogue p.62 names SRTWT2634 as a Chrome 3-Ways Exposed Shower Set c/w Spout, ABS rain shower head 188x288mm, 3-functions self-clean silicone-nozzle ABS hand shower and solid-brass body.","Same page siblings SRTWT9607-RG, SRTWT2635 and SRTWT7633; source has no colour suffix and matches Chrome SRTWT2634.",HIGH,MEDIUM,VERIFIED_CANDIDATE,needs_permission,"Identity research only. No publication, reuse, or licensing permission was established.",,YES,Exact PDF URL/page/crop and sibling models preserved; visual crop review required.,products_51_100_sorento_notes.md
