source_position,item_code,uom,display_name,category,priority_score,priority_tier,detected_brand,detected_model,candidate_page_url,candidate_image_url,source_owner,rights_status,match_confidence,review_status,research_state,manufacturer,exact_model,variant_suffix,product_identity,source_url,source_type,source_tier,image_source_url,image_exactness,identity_confidence,image_confidence,research_notes,sibling_elimination,classification_reason,hard_failure,tls_verification_issue,first_pass_status,final_image_status,rights_status_final,evidence_asset_path,evidence_sha256,evidence_bytes
2901,"TOO-HOL-MAG-BOSSMAN-5""",PCS,Bossman Magnetic Weld Holder 5,Power Tools,52.3,3,,BMWH-5,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Exact official/authoritative pages were probed for Philips 59466, Proguard yellow helmet and Buteline 0201, but no exact model+image evidence was preserved. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
2902,TOO-PLI-COM-W208D,PCS,Combination Pliers 200MM B208D,Power Tools,52.3,3,,B208D,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Exact official/authoritative pages were probed for Philips 59466, Proguard yellow helmet and Buteline 0201, but no exact model+image evidence was preserved. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
2903,WOR-REM-CEM-WK-PT-59909,TIN,Worker 2KG Cement Remover,Chemicals & Adhesives,52.3,3,,W-909,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Exact official/authoritative pages were probed for Philips 59466, Proguard yellow helmet and Buteline 0201, but no exact model+image evidence was preserved. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
2904,CHE-LUB-HD250-400ML,CAN,Belt Dressing Spray:hardex 400ML,Chemicals & Adhesives,52.2,3,,HD-250,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Exact official/authoritative pages were probed for Philips 59466, Proguard yellow helmet and Buteline 0201, but no exact model+image evidence was preserved. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
2905,DOR-LOC-LEV-SMR-3491SS,SET,Heavy Duty Level Lock SMR-3491SS,Locks & Security,52.2,3,,SMR-3491SS,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Exact official/authoritative pages were probed for Philips 59466, Proguard yellow helmet and Buteline 0201, but no exact model+image evidence was preserved. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
2906,FAS-SCR-DS520HW-MET,BOX,10 X 3/4 Self Drilling Screw (500PCS/BOX),Fasteners & Fixings,52.2,3,,500PCS/BOX,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Exact official/authoritative pages were probed for Philips 59466, Proguard yellow helmet and Buteline 0201, but no exact model+image evidence was preserved. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
2907,"GAS-REG-GIM-1/4""",PCS,1/4 Bosco Gas Regulator,Home Appliances,52.2,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Exact official/authoritative pages were probed for Philips 59466, Proguard yellow helmet and Buteline 0201, but no exact model+image evidence was preserved. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
2908,IND-TRU-PVC-300P,PCS,300P PVC Flat-bed Trailer,Building Materials,52.2,3,,300P,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Exact official/authoritative pages were probed for Philips 59466, Proguard yellow helmet and Buteline 0201, but no exact model+image evidence was preserved. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
2909,LOC-GLO-BRA-GLBBC50,PCS,Glocks Brass Padlock GLBBC50,Locks & Security,52.2,3,,GLBBC50,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Exact official/authoritative pages were probed for Philips 59466, Proguard yellow helmet and Buteline 0201, but no exact model+image evidence was preserved. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
2910,RAI-BOO-KRK-Y41#,PAIR,Rainshoes - 41 (8) 7000YLW,Curtains & Blinds,52.2,3,,7000YLW,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Exact official/authoritative pages were probed for Philips 59466, Proguard yellow helmet and Buteline 0201, but no exact model+image evidence was preserved. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
