source_position,item_code,uom,display_name,category,priority_score,priority_tier,detected_brand,detected_model,candidate_page_url,candidate_image_url,source_owner,rights_status,match_confidence,review_status,research_state,manufacturer,exact_model,variant_suffix,product_identity,source_url,source_type,source_tier,image_source_url,image_exactness,identity_confidence,image_confidence,research_notes,sibling_elimination,classification_reason,hard_failure,tls_verification_issue,first_pass_status,final_image_status,rights_status_final,evidence_asset_path,evidence_sha256,evidence_bytes
3201,"DL5SS-HOS-NIPP-1""X25MM",PCS,DL5 Hose Nipple 1 X 25MM,Outdoor & Garden,50.7,3,,DL5,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3202,DOR-HOL-SGD-020SN,PCS,Sn St. Guchi Door Holder,Doors & Hardware,50.7,3,,SGDS-020,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3203,ELE-LED-FLO-SOR-25W-6500K,PCS,Ilite Solar Spotlite ILS-25W 6500K,Electrical,50.7,3,,ILS-25W,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3204,IND-TRU-MET-150KGS,UNIT,Platform Hand Truck-metal ST150 150KGS,Building Materials,50.7,3,,ST150,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3205,JAC-BOT-CNN-B10TON,PCS,China Bottle Jack -10TON (l/w),Automotive,50.7,3,,10TON,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3206,LOC-DEL-TZ-DL3871SS,PCS,Deluxe Cylindrical Lock,Locks & Security,50.7,3,,DL3871SS,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3207,PUM-WTR-ADELINO-ACM75,UNIT,Adelino Centrifugal Pump Acm 75,Pumps & Water,50.7,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3208,SAF-LAS-CAR-GLO-50MM*,SET,Cargo Lashing 2 X 30FT (glolift),Safety & Workwear,50.7,3,,30FT,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3209,SHH-LURE-H2130-3.0CM,PCS,Huizhu Fishing Super Lure Frog 3.0CM (soft),Fishing & Tackle,50.7,3,,H2130,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3210,SWI-BUT-HOI-15A-250V,PCS,Hoist Push Button Switch 15A 250V,Lifting & Rigging,50.7,3,,THS-21,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3211,SWI-SOC-ELE-E062B,PCS,Elegance 16A 2 GANG Auto Gate Swi-blk (E062B),Doors & Hardware,50.7,3,,E062B,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
